metric	value	provenance
reference_individuals	985	recovered final projection output
reference_populations	154	recovered population list
imputed_query_points	24	recovered final projection output
pseudohaploid_query_points	24	recovered final projection output
projected_query_points	48	recovered final projection output
common_markers_before_smartpca	1134702	recovered marker-harmonisation output
smartpca_markers_removed_internally	20641	recovered smartpca log
smartpca_markers_used	1113348	recovered smartpca log
eigenvalues	985	recovered final projection output
eigenvalue_trace	983.999987	recovered final projection output
titration_projected_points	1694	recovered titration projection output
titration_ORT15_points	842	recovered titration projection output
titration_ORT16_points	852	recovered titration projection output
titration_missing_ORT15_nu_trim10_0.20x	10	recovered titration projection output
