rank	nonnormalized_p0	normalized_p0	overlap_snps
1	0.17647058823529413	0.7100526791118912	34
2	0.19097369975420925	0.7684078605188551	157451
3	0.19102026076236256	0.7685952048741498	160606
4	0.20253164556962025	0.8149127794026768	79
5	0.20710059171597633	0.833296536630326	169
6	0.208	0.8369154244465491	125
7	0.2184873949579832	0.8791128408051986	119
8	0.21875694549000207	0.8801974129105562	139479
9	0.2188679245283019	0.8806439517035531	265
10	0.2226017819930296	0.8956676195156469	332549
11	0.22593582887700533	0.9090825967417394	748
12	0.22792022792022792	0.9170670879317873	702
13	0.232	0.9334825888057663	125
14	0.23368286917117728	0.9402538347994386	503811
15	0.23534795281924842	0.9469535183959024	478585
16	0.23561841147234797	0.9480417444461623	631780
17	0.23699421965317918	0.9535774900597074	692
18	0.23723723723723725	0.9545553033506206	333
19	0.23891625615763548	0.9613110573526343	406
20	0.23901075194587784	0.9616912736157366	231772
21	0.23962061867810242	0.9641451528227345	407611
22	0.2397182565944975	0.9645380118527435	253848
23	0.24060559933142311	0.9681083523493956	134016
24	0.24134021592558555	0.9710641790739578	116429
25	0.24170735774003763	0.9725414225714302	209915
26	0.24265012177247833	0.976334757957791	453715
27	0.24268201051923913	0.9764630665348601	252870
28	0.24271310027913337	0.9765881602829266	157989
29	0.24273417186140736	0.9766729445724583	416126
30	0.24278850435495075	0.9768915585238771	449144
31	0.24306599427823303	0.9780080758167782	164984
32	0.24327730258588184	0.9788583026532445	100778
33	0.24332834609479664	0.9790636829413631	102261
34	0.24336204724262475	0.9791992839530885	214298
35	0.2434550155572111	0.9795733542245411	228190
36	0.24358141480301507	0.9800819382555591	337107
37	0.24376045921580625	0.980802347057126	444584
38	0.2441860465116279	0.9825147536548261	258
39	0.2443078428674098	0.9830048173509572	130794
40	0.24433098798581032	0.9830979447864862	204092
41	0.24436516318487417	0.9832354532058615	232926
42	0.24439102564102563	0.9833395142081078	8736
43	0.2444199928910448	0.9834560677578427	382616
44	0.24443372852890802	0.9835113349078058	60139
45	0.24461212682951886	0.9842291439918263	428323
46	0.2446833411355581	0.9845156841416604	59812
47	0.2447245251673296	0.9846813935235377	438207
48	0.2448527488756814	0.9851973185201692	195007
49	0.24503777720418066	0.9859418043955567	228577
50	0.24524862783648727	0.9867901897149398	292968
51	0.24533139330690884	0.9871232074976677	398620
52	0.24539413695314527	0.9873756648309431	358619
53	0.2454474072956823	0.987590005077745	225421
54	0.24561403508771928	0.9882604539685971	285
55	0.24564085643056166	0.9883683731778719	272760
56	0.24572427099639593	0.9887040026815748	137345
57	0.24588512567743787	0.9893512226991633	417935
58	0.2460571501250689	0.9900433857453379	94348
59	0.2461762466793371	0.9905225864341143	375678
60	0.24630102063058334	0.991024630878187	573469
61	0.24631920877843946	0.9910978132891625	227193
62	0.2463267371653928	0.9911281047466743	315183
63	0.24639769452449567	0.991413611036632	694
64	0.24639899171768095	0.9914188304644456	77756
65	0.24641247972064415	0.9914731012227382	525781
66	0.24650818083347587	0.9918581672682458	122787
67	0.24652775838671306	0.9919369401349628	179063
68	0.24653069670594016	0.9919487628497854	77321
69	0.2465538584455744	0.9920419571630398	405526
70	0.24658114961297514	0.9921517667733707	127382
71	0.24661657842334334	0.9922943192631156	365089
72	0.24665481554976781	0.9924481713827846	72567
73	0.24673884079346095	0.9927862580293696	161369
74	0.24687900379869182	0.99335022236117	222445
75	0.2468896283108459	0.9933929714866458	475747
76	0.24693713118189964	0.9935841055515034	398401
77	0.24704008132802718	0.9939983390382494	483966
78	0.24705768185699867	0.994069157087166	515240
79	0.24705828815123976	0.9940715965919839	153822
80	0.24706233381014647	0.9940878748340083	227902
81	0.24710391422256361	0.9942551791056754	127586
82	0.24719101123595505	0.9946056254226491	89
83	0.24725095210926948	0.994846805429532	205071
84	0.24725231896484529	0.9948523051531588	461844
85	0.24729747189801457	0.9950339839331029	487599
86	0.2473436555037098	0.9952198097598476	203381
87	0.24738780920248568	0.9953974679884625	116186
88	0.24744061251868213	0.9956099290932064	196043
89	0.2475457526196476	0.9960329741519847	616686
90	0.24759615384615385	0.9962357701321487	832
91	0.2476338816246354	0.9963875728232127	100798
92	0.24765982931576583	0.9964919767796349	166975
93	0.24766214177978885	0.996501281283526	46410
94	0.24766507664733065	0.9965130901100376	174631
95	0.24775290173107684	0.9968664659140786	175671
96	0.24777630548255086	0.9969606339938791	273194
97	0.2478764478764479	0.9973635701193283	214970
98	0.24790769022536038	0.9974892778294283	177316
99	0.24791838427084387	0.9975323067314229	207411
100	0.24792312201658154	0.9975513696760621	477640
101	0.2479664875371091	0.9977258565655749	225349
102	0.2479718300134636	0.9977473527235837	173802
103	0.2480264349085642	0.9979670627185835	441840
104	0.2480663128777173	0.9981275169853135	532144
105	0.24810617213891462	0.9982878959781168	373582
106	0.24812433324200328	0.9983609695709046	171539
107	0.24814535460406678	0.998445551792798	193568
108	0.24815197474698464	0.9984721888106826	350374
109	0.24828034097361773	0.9989886872484097	294099
110	0.24830624989647004	0.9990929352155534	60369
111	0.24838236275098394	0.9993991853210406	89946
112	0.24840573507382838	0.9994932269436062	23365
113	0.2484292443715978	0.9995878197028425	150087
114	0.24844082833739597	0.9996344293165577	182148
115	0.248494266825433	0.9998494461189484	346841
116	0.24856910164468474	1.0001505538810516	176812
117	0.24858757062146894	1.0002248662442461	177
118	0.24861017266639462	1.0003158085520458	149479
119	0.24861144524753406	1.0003209289500479	191206
120	0.24873313681115494	1.0008105710011024	397241
121	0.24882537196554425	1.0011816913058362	56188
122	0.24885340444501564	1.001294483683024	124499
123	0.24890718981675758	1.0015108962177377	343152
124	0.24892116484259058	1.00156712657676	467634
125	0.2490154902330198	1.0019466572217945	435242
126	0.24908086746675737	1.0022097111416148	308715
127	0.24909291457432295	1.0022581842672955	68902
128	0.2491987233783042	1.0026839199408253	147577
129	0.24922666775204527	1.0027963578129906	98276
130	0.2492548637077982	1.0029098079585512	405966
131	0.24926375151054023	1.0029455692047256	223430
132	0.24928396297959754	1.0030268927153254	135817
133	0.24930413707705823	1.0031080658563791	94487
134	0.2493066233635593	1.0031180697579287	278348
135	0.24933032867043667	1.0032134511856543	94076
136	0.2493573409067948	1.0033221384801587	356332
137	0.24936260064379376	1.0033433017254614	367509
138	0.24937373975243954	1.0033881213977702	339715
139	0.24940798277200607	1.0035259027018801	512654
140	0.24944007467759266	1.003655028715271	319239
141	0.24945038174236206	1.0036965005493397	242441
142	0.24951762435879335	1.0039670600823756	106245
143	0.24958038756929962	1.0042195961350702	19661
144	0.24966700130574856	1.0045680979235465	304806
145	0.24992042344735635	1.0055877753235842	499519
146	0.25	1.0059079620751792	144
147	0.25	1.0059079620751792	76
148	0.25002246787094456	1.0059983645162753	11127
149	0.2500279548250028	1.0060204419993741	35772
150	0.2500322143203392	1.0060375806404673	162971
151	0.2500427496580027	1.006079970960623	163744
152	0.25005772338951743	1.0061402197436333	290177
153	0.2500840365106317	1.006246094055777	116021
154	0.2501483372826141	1.0065048166897956	261229
155	0.2501903624317218	1.006673910418175	545013
156	0.2503147293327738	1.0071743170421223	390812
157	0.2504225893200154	1.0076083059219447	104120
158	0.2504878263162521	1.0078707955776904	398195
159	0.2505040788767828	1.007936189897858	378413
160	0.2505151035041915	1.0079805489398153	134439
161	0.25055968708988446	1.008159936875121	194305
162	0.2506710408589323	1.0086079834466903	53648
163	0.25072479213200893	1.0088242587809282	459787
164	0.25073489004998123	1.008864889085283	114643
165	0.2509512937595129	1.009735617943045	5256
166	0.2509852776406616	1.0098723565695638	127629
167	0.2510060957566432	1.0099561210040489	337940
168	0.2510323789743548	1.0100618749959092	369777
169	0.25112591213134694	1.010438217985255	210496
170	0.2511713191656737	1.0106209191747089	172882
171	0.2512016262664944	1.0107428637908007	279413
172	0.2512027573661409	1.010747414919362	83558
173	0.2513470802155328	1.0113281169326127	105042
174	0.25136315268043885	1.0113927866142893	136265
175	0.25136366377396346	1.0113948430664725	182413
176	0.25142534285274026	1.0116430169722128	19469
177	0.2515997285899338	1.012344680978274	308021
178	0.25164133557585877	1.0125120921719535	486951
179	0.25168928050164874	1.0127050049023265	18499
180	0.2516912534500809	1.0127129433204733	262675
181	0.2517187901297983	1.0128237407819807	202468
182	0.25172281727212675	1.012839944520111	389043
183	0.2517415296008901	1.012915236042079	488938
184	0.2517794953782155	1.0130679963528708	438467
185	0.2519283121597096	1.0136667802944523	17632
186	0.25212971786652805	1.0144771627108364	103887
187	0.25247738043946577	1.015876028911771	81235
188	0.2524899934841292	1.0159267791599826	21486
189	0.25253516296196443	1.0161085245095716	586057
190	0.25257142857142856	1.0162544439708094	214375
191	0.25270640604418065	1.016797543628978	132094
192	0.25282342577685973	1.0172683879522653	164605
