rank	nonnormalized_p0	normalized_p0	overlap_snps
1	0.18854997111496244	0.7642265973464042	173100
2	0.18973589010001654	0.7690333381022743	169172
3	0.19225752690119924	0.7792539809425552	165606
4	0.2191167088754422	0.8881190267779013	206908
5	0.21913739091519355	0.8882028547666933	357520
6	0.2201566405599067	0.892334055016789	150025
7	0.22275218418216422	0.9028542553592891	218045
8	0.22463525772333934	0.9104866876339558	143526
9	0.2263649060821723	0.9174972603328546	494741
10	0.23050117506004023	0.9342622948113704	543802
11	0.23345186757389824	0.9462219768327815	682222
12	0.23499324492204485	0.9524694536106098	515168
13	0.23724445496882154	0.9615940086757029	253380
14	0.2382757159842021	0.9657738931492982	439046
15	0.23893895794686026	0.9684621308898945	273844
16	0.23948256288076242	0.9706654584559511	125078
17	0.23971417235982195	0.9716042129041653	229369
18	0.23987377403774926	0.9722511069160387	472486
19	0.2400980804134219	0.9731602605861758	447388
20	0.2402142296233335	0.9736310340100608	340009
21	0.24045191714716616	0.9745944238557138	491329
22	0.24077369901367032	0.9758986630421326	234303
23	0.24080425826947274	0.9760225251458562	272599
24	0.24097408325981656	0.97671085606284	180231
25	0.24107272148049466	0.9771106543301713	276232
26	0.24108092994528998	0.9771439246992033	479254
27	0.24153091657374923	0.9789678006079888	110313
28	0.24155114503816794	0.9790497901752152	245625
29	0.24159199586218458	0.9792153658369478	489147
30	0.24169578017664378	0.9796360221384475	254750
31	0.2417991924851681	0.980055170633671	485440
32	0.241835414262232	0.980201983944072	142965
33	0.24200553533634783	0.9808915149412907	190413
34	0.24201303711205754	0.9809219209736585	418651
35	0.2421342478487346	0.9814132096665434	540031
36	0.24243945813065537	0.9826502812706819	191190
37	0.24248840658825604	0.9828486780828177	362706
38	0.24250422280265033	0.9829127840152556	619849
39	0.24254529816216663	0.9830792697593387	385998
40	0.24264375339192087	0.9834783263318808	429329
41	0.24269974082998175	0.9837052533848545	219547
42	0.24273773556070208	0.9838592527920345	170126
43	0.24282496039081067	0.9842127905556513	242368
44	0.24282633268374818	0.9842183527032135	298139
45	0.24294019933554817	0.9846798745127463	146888
46	0.24334450486910333	0.9863185968120396	316280
47	0.2434933023118527	0.9869216993354383	460756
48	0.24356735595588117	0.987221851937225	246244
49	0.2435866522451023	0.9873000632324359	435459
50	0.24362262704789017	0.9874458755121314	365315
51	0.24363762703031355	0.987506673111091	195721
52	0.24385185504683446	0.9883749773975032	556428
53	0.2440484913209047	0.9891719792201975	498151
54	0.24409227760728772	0.9893494528334527	103297
55	0.2442178456094626	0.9898584022990519	210259
56	0.24421803450897547	0.9898591679424041	344606
57	0.24431056535637263	0.9902342119386336	455801
58	0.24438302652743382	0.9905279099640025	313336
59	0.24438372584134985	0.9905307444077914	423813
60	0.24464666341569324	0.9915964772030113	580339
61	0.24474344933956385	0.9919887677816481	567958
62	0.24475312917468764	0.992028001876545	628041
63	0.24479984615877695	0.9922173541293072	218407
64	0.24481862975268504	0.9922934873791477	168247
65	0.24488827275076952	0.9925757628477695	212795
66	0.24489587378144734	0.9926065711781918	244655
67	0.24502056170753875	0.9931119535387594	245359
68	0.24506194322837482	0.9932796802091723	327558
69	0.24506344807205077	0.9932857796084733	277471
70	0.24509327492971372	0.9934066731721609	450657
71	0.2450996870720723	0.9934326627265874	404566
72	0.24509976821525747	0.9934329916143615	476304
73	0.24513268650003212	0.9935664152824482	482453
74	0.24516887382455718	0.9937130889505762	533416
75	0.24533908393311724	0.9944029808202467	436824
76	0.24541025988658305	0.9946914696299156	427802
77	0.24543671348713444	0.9947986907820452	190159
78	0.24544022476313598	0.9948129226087336	392947
79	0.24549878459018995	0.995050276012216	214331
80	0.24560453231764504	0.9954788903761017	522470
81	0.24564733394198582	0.9956523729788167	124866
82	0.24566266426438535	0.9957145095045045	79369
83	0.24567810550491936	0.9957770956011363	193318
84	0.24569949154578088	0.9958637770317493	74933
85	0.24583716843778763	0.9964218059833815	298775
86	0.24590028672208586	0.9966776356255412	193916
87	0.24593554942662216	0.99682056164426	110224
88	0.24594654407128572	0.9968651248962753	239487
89	0.24598315864075498	0.9970135302642175	428944
90	0.24604053514864788	0.9972460874644934	245614
91	0.2460850270954528	0.9974264212450555	281228
92	0.24612249759650154	0.9975782958560566	235074
93	0.24612397370314518	0.99758427877905	304371
94	0.24620626726292252	0.9979178292261822	243296
95	0.24624887046766697	0.9980905075989519	369622
96	0.24626642614785899	0.9981616638959161	665783
97	0.24631799628725193	0.9983706868510505	512289
98	0.24634358615126623	0.9984744071252386	376872
99	0.24635250132178554	0.998510541898373	317752
100	0.24640478455892348	0.9987224551656088	220710
101	0.2464064921339824	0.9987293762712938	182621
102	0.24643552137783745	0.998847036964232	553447
103	0.24648738972912757	0.9990572686252713	398564
104	0.24652922460009588	0.9992268328044727	573575
105	0.2467114448752683	0.9999654040173934	469127
106	0.24672851591556924	1.0000345959826067	168043
107	0.24674847801098387	1.0001155059088422	187912
108	0.24679579892134468	1.0003073059822898	369905
109	0.24679816226527745	1.000316885035956	412029
110	0.246803135257147	1.0003370414572625	96579
111	0.24682598451699764	1.000429653574911	222825
112	0.24699944542526725	1.0011327215144903	196547
113	0.2470052700816367	1.0011563298836224	373239
114	0.24705733049906406	1.0013673400229062	189114
115	0.24709826289198383	1.0015332462979236	546483
116	0.24712087486693118	1.0016248966576193	103330
117	0.24713456042774176	1.0016803666717975	260344
118	0.24713626753795886	1.0016872858933958	208120
119	0.24713771448908667	1.0016931506438935	514187
120	0.24713773669009398	1.0016932406285282	327538
121	0.24718729422587973	1.0018941061429723	317399
