rank	nonnormalized_p0	normalized_p0	overlap_snps
1	0.0	0.0	1
2	0.037037037037037035	0.14878453800010058	27
3	0.047619047619047616	0.1912944060001293	21
4	0.12	0.4820619031203259	25
5	0.13043478260869565	0.5239803294786151	23
6	0.15384615384615385	0.6180280809234947	39
7	0.16	0.6427492041604345	25
8	0.19139118892611087	0.768853339784857	31642
9	0.19167202572347267	0.7699815124598774	31100
10	0.1935483870967742	0.7775191985811707	62
11	0.19387755102040816	0.7788415101433837	196
12	0.2	0.8034365052005432	5
13	0.20134228187919462	0.8088286965106138	149
14	0.20634920634920634	0.8289424260005603	63
15	0.20689655172413793	0.8311412122764239	29
16	0.21428571428571427	0.8608248270005818	14
17	0.22	0.8837801557205974	100
18	0.22131447831184056	0.8890606550257328	27296
19	0.2222222222222222	0.8927072280006034	27
20	0.22224088694775743	0.8927822076098761	65483
21	0.225	0.903866068350611	40
22	0.22674418604651161	0.9108727820587552	172
23	0.23245631612696377	0.9338194512042021	99808
24	0.23529411764705882	0.9452194178829919	34
25	0.23536146941782166	0.9454899822395957	124893
26	0.2360565884008592	0.9482824020717469	94507
27	0.2361111111111111	0.9485014297506411	72
28	0.23963184254459186	0.9626448505439685	45524
29	0.24	0.9641238062406517	150
30	0.24004320777739993	0.9642973797690102	49991
31	0.24022346368715083	0.9650215006598702	179
32	0.2406339593467126	0.9666705366504618	31043
33	0.2410355103054383	0.9682836401451542	80540
34	0.24122873633049818	0.9690598643565937	26336
35	0.2414412047981788	0.9699133889722868	22842
36	0.2416073121520772	0.9705806725318081	41137
37	0.24175469450906623	0.9711727343609455	89839
38	0.2421732891956932	0.972854305621541	88511
39	0.24219210371243372	0.9729298869694262	1697
40	0.242586746621934	0.9745152395694816	75709
41	0.2431015215335683	0.9765831843493235	11633
42	0.24333234805938928	0.9775104566353894	87962
43	0.24365029963506768	0.9787877261493197	81933
44	0.24385169218794436	0.979596756793603	66807
45	0.243976039273972	0.9800962817347525	44406
46	0.2440944881889764	0.9805721126463322	127
47	0.24431818181818182	0.9814707307847544	176
48	0.24436150573882334	0.9816447708817134	49836
49	0.24444717898234172	0.9819889359385214	32506
50	0.24459836917719854	0.9825962945474033	79837
51	0.24464804469273743	0.9827958501603962	44750
52	0.24465990379103214	0.9828434903228399	40121
53	0.24470889115060415	0.9830402814877076	38319
54	0.24484375	0.9835820341009774	25600
55	0.24490226409787652	0.9838170959124918	14222
56	0.24528466897938955	0.9853532861203641	34303
57	0.24531317385017376	0.9854677953891844	78838
58	0.24540968301249277	0.9858554903096515	44986
59	0.24541498922369973	0.9858768063285913	24591
60	0.24543847282728018	0.9859711442505422	86539
61	0.24549086918596472	0.9861816299870759	71078
62	0.24549956857321845	0.9862165770135386	84603
63	0.24559098489059578	0.9865838130462983	19789
64	0.24565206558030597	0.9868291853256783	40134
65	0.24574702002083093	0.9872106346449215	34564
66	0.2457627118644068	0.9872736716447352	3186
67	0.24595720980256588	0.9880550053632515	104136
68	0.24609596245650942	0.98861240010011	74154
69	0.24615930040179626	0.9888668401871492	42310
70	0.24617402710975075	0.9889260000610095	45740
71	0.24629357768564378	0.9894062565454605	61987
72	0.24642561218553322	0.9899366632312459	113446
73	0.2465558079953594	0.9904596835634384	82748
74	0.24656661867316426	0.9905031120294103	72232
75	0.24659028914348063	0.9905982006291476	25662
76	0.24687824672142394	0.9917549787794915	102026
77	0.24691801009816233	0.9919147155216999	78034
78	0.24691828915203107	0.9919158365320251	57679
79	0.2469607629031084	0.9920864613426668	27474
80	0.2469618635175611	0.992090882711814	104834
81	0.24697046491268487	0.9921254360860045	86812
82	0.2469781117281934	0.9921561547396449	18366
83	0.24703120980879706	0.9923694594212102	93304
84	0.24705227542366676	0.9924540838411643	68273
85	0.24711185016628742	0.9926934064562111	22852
86	0.24714285714285714	0.9928179671406712	3500
87	0.24726630318905912	0.9933138724403778	32831
88	0.24730441323971916	0.9934669674699544	31904
89	0.247427848267701	0.9939628285074598	121688
90	0.2474759791250061	0.9941561789463873	41006
91	0.2475229072837397	0.9943446979256295	32195
92	0.2475807328476677	0.9945769937705973	18394
93	0.24760150088750085	0.9946604227773143	44507
94	0.24769662171184403	0.9950425404907247	29956
95	0.24770884156392167	0.9950916298669613	60668
96	0.24773458360490297	0.995195040344175	47563
97	0.24781020856515165	0.9954988396130157	70098
98	0.24785811664352808	0.9956912951083239	79953
99	0.24793319415448853	0.9959928951734499	11975
100	0.24793791997961806	0.9960118796755812	94201
101	0.24796244376344787	0.9961103961914538	15337
102	0.24809877426858729	0.9966580607144611	44708
103	0.24822034214155267	0.9971464210494608	53662
104	0.24829514865107374	0.9974469324523402	66868
105	0.24832279087598236	0.9975579763152229	20868
106	0.24839694228992243	0.9978558560795814	35713
107	0.24840671622394345	0.9978951197565409	96185
108	0.24843871085380864	0.9980236480245612	43874
109	0.24865642882845237	0.9988982608678968	86151
110	0.2486988549923933	0.9990686945123256	24978
111	0.24875966779485925	0.9993129906397491	73569
112	0.24876413039720677	0.99933091772792	57854
113	0.2487918064525664	0.9994420974938995	67663
114	0.2488810890114584	0.9998007618293572	107694
115	0.24889537836465211	0.9998581647693149	78760
116	0.24896599264705882	1.0001418352306852	34816
117	0.2489754098360656	1.0001796657978073	3904
118	0.2489772063120982	1.0001868825699338	15399
119	0.2490415460449104	1.0004453470203147	38343
120	0.2491130396812401	1.0007325500068989	18321
121	0.24921135646687698	1.0011275064801721	3804
122	0.24927218059466424	1.0013718481034783	62859
123	0.2493032082073178	1.0014964916868538	33726
124	0.2493398048118574	1.0016435069271215	95805
125	0.24937732437135351	1.0017942298459126	29309
126	0.24940641576155595	1.0019110952702908	19795
127	0.24943416116330264	1.0020225536133645	32253
128	0.2495264045672765	1.0023931122039473	77070
129	0.2495383774924884	1.0024412096298938	91525
130	0.2496100286451686	1.0027290453884086	35259
131	0.24961055621735545	1.0027311647421788	54565
132	0.24963585434173668	1.0028327919253837	53550
133	0.24975607036324607	1.0033157216263369	35871
134	0.24990791896869244	1.0039257251907339	38010
135	0.24994580809690786	1.0040779327345264	78425
136	0.25	1.0042956315006788	16
137	0.25	1.0042956315006788	20
138	0.25008284023668637	1.0046284158519454	42250
139	0.2501357957631722	1.0048411478675994	11046
140	0.25014013452914796	1.0048585774824617	57088
141	0.25014442518775276	1.004875813841234	34620
142	0.2502650635024476	1.0053604399709926	44329
143	0.2502920768441478	1.0054689574952393	98433
144	0.25036971310263234	1.0057808365162078	27048
145	0.25037324183451637	1.0057950120762713	38179
146	0.2504877661035076	1.006255076968466	69193
147	0.2505700406463765	1.006585588824414	40348
148	0.2505726065048099	1.0065958963460766	2183
149	0.25058361159540204	1.0066401058037007	33841
150	0.2506030739540975	1.0067182896509665	72545
151	0.2507195786637271	1.0071863103346879	16329
152	0.25076274880139476	1.0073597326573716	41298
153	0.2508593788696815	1.0077479132791796	100945
154	0.2508761850043091	1.007815426589535	34810
155	0.2509006378829777	1.007913658266433	90769
156	0.2511089206505668	1.0087503681608594	20290
157	0.25112834669821654	1.0088284061400272	22821
158	0.2511833630790719	1.0090494169838433	51548
159	0.2511852766337106	1.0090571040821004	96391
160	0.2512254901960784	1.0092186493021529	60384
161	0.25129555263026343	1.00950010288849	60013
162	0.2513963508697271	1.0099050278147155	37598
163	0.25144051519602306	1.0100824439745841	17702
164	0.2514590711827206	1.0101569867600981	20047
165	0.25150641865339274	1.0103471901919328	3817
166	0.25168509479695855	1.011064964873679	30117
167	0.25187639111755267	1.0118334371100581	19319
168	0.2518911314322818	1.011892651644816	92405
169	0.2519079522283717	1.0119602238529417	51495
170	0.2519134775374376	1.011982420027972	9015
171	0.2519591014254795	1.0121656995137822	26798
172	0.2521502942507922	1.0129337559907254	2209
173	0.2521538445472488	1.012948018179613	95759
174	0.25229628508738744	1.0135202278284523	66085
175	0.2523162445954293	1.0136004088153856	29142
176	0.25231747152820694	1.0136053376283005	22654
177	0.2525459174395345	1.0145230465514223	43992
178	0.25257109395015187	1.0146241851899402	54646
179	0.2525757982291387	1.0146430831372837	74540
180	0.25263758197889935	1.014891279737213	49098
181	0.2529027924383456	1.0159566785606138	20842
182	0.2530190029785957	1.0164235175122438	86618
183	0.25308509368659743	1.0166890159495594	41895
