iid1	iid2	individual1	individual2	library1	library2	treatment1	treatment2	library_direction	same_treatment	mixed_library	same_treatment_method	non_udg_treatment	callable_map_denominator_cM	native_sum_gt8_cM	native_n_gt8	native_recovery_gt8_pct	native_sum_gt12_cM	native_n_gt12	native_recovery_gt12_pct	native_sum_gt16_cM	native_n_gt16	native_recovery_gt16_pct	native_sum_gt20_cM	native_n_gt20	native_recovery_gt20_pct	density220_sum_gt8_cM	density220_n_gt8	density220_recovery_gt8_pct	density220_sum_gt12_cM	density220_n_gt12	density220_recovery_gt12_pct	density220_sum_gt16_cM	density220_n_gt16	density220_recovery_gt16_pct	density220_sum_gt20_cM	density220_n_gt20	density220_recovery_gt20_pct
ORT15_fu_raw	ORT16_fu_raw	ORT15	ORT16	fu	fu	raw	raw	ORT15_fu_x_ORT16_fu	yes	no	raw		3538.851100	3278.188499	50	92.634259	3269.675501	49	92.393701	3217.483607	45	90.918875	3200.688210	44	90.444275	3042.263204	43	85.967539	3042.263204	43	85.967539	3017.397809	41	85.264899	3000.602412	40	84.790299
ORT15_fu_raw	ORT16_fu_trim5	ORT15	ORT16	fu	fu	raw	trim5	ORT15_fu_x_ORT16_fu	no	no			3538.851100	3362.663524	40	95.021334	3329.009924	37	94.070359	3314.644727	36	93.664430	3314.644727	36	93.664430	3218.041423	36	90.934638	3207.028523	35	90.623438	3207.028523	35	90.623438	3207.028523	35	90.623438
ORT15_fu_raw	ORT16_fu_rescale5	ORT15	ORT16	fu	fu	raw	rescale5	ORT15_fu_x_ORT16_fu	no	no			3538.851100	3341.339692	44	94.418770	3329.497191	43	94.084128	3289.210197	40	92.945708	3272.435399	39	92.471689	3143.287090	39	88.822248	3131.444588	38	88.487605	3105.522791	36	87.755113	3105.522791	36	87.755113
ORT15_fu_raw	ORT16_fu_bamrefine5	ORT15	ORT16	fu	fu	raw	bamrefine5	ORT15_fu_x_ORT16_fu	no	no			3538.851100	3347.733329	44	94.599440	3335.839627	43	94.263351	3321.474431	42	93.857423	3285.488526	40	92.840542	3103.031518	38	87.684715	3091.137816	37	87.348626	3091.137816	37	87.348626	3071.906514	36	86.805193
ORT15_fu_raw	ORT16_nu_raw	ORT15	ORT16	fu	nu	raw	raw	ORT15_fu_x_ORT16_nu	yes	yes	raw	raw	3538.851100	3210.823817	57	90.730684	3162.032213	52	89.351943	3061.050217	45	86.498418	2989.122318	41	84.465897	2922.124019	47	82.572675	2913.918319	46	82.340800	2827.585320	40	79.901223	2755.657422	36	77.868702
ORT15_fu_raw	ORT16_nu_trim5	ORT15	ORT16	fu	nu	raw	trim5	ORT15_fu_x_ORT16_nu	no	yes		trim5	3538.851100	3195.537888	50	90.298738	3154.219780	46	89.131181	3098.594891	42	87.559346	3060.971288	40	86.496188	2919.723388	41	82.504839	2887.124783	38	81.583675	2872.110791	37	81.159413	2834.487188	35	80.096255
ORT15_fu_raw	ORT16_nu_rescale5	ORT15	ORT16	fu	nu	raw	rescale5	ORT15_fu_x_ORT16_nu	no	yes		rescale5	3538.851100	3244.743891	51	91.689189	3213.202994	48	90.797914	3153.387796	44	89.107671	3097.602895	41	87.531315	3037.649277	45	85.837160	3027.854684	44	85.560387	2968.039486	40	83.870143	2912.254585	37	82.293787
ORT15_fu_raw	ORT16_nu_bamrefine5	ORT15	ORT16	fu	nu	raw	bamrefine5	ORT15_fu_x_ORT16_nu	no	yes		bamrefine5	3538.851100	3152.069324	62	89.070414	3081.360511	55	87.072341	3023.004017	51	85.423318	2931.223195	46	82.829797	2773.495400	50	78.372763	2741.187994	47	77.459829	2682.831500	43	75.810805	2607.349186	39	73.677844
ORT15_fu_trim5	ORT16_fu_raw	ORT15	ORT16	fu	fu	trim5	raw	ORT15_fu_x_ORT16_fu	no	no			3538.851100	3335.480746	43	94.253210	3326.586947	42	94.001891	3299.817654	40	93.245451	3263.442561	38	92.217572	3079.171360	37	87.010481	3070.277560	36	86.759162	3057.790768	35	86.406313	3040.947068	34	85.930348
ORT15_fu_trim5	ORT16_fu_trim5	ORT15	ORT16	fu	fu	trim5	trim5	ORT15_fu_x_ORT16_fu	yes	no	trim5		3538.851100	3428.804368	36	96.890326	3409.905178	34	96.356277	3395.540685	33	95.950369	3362.206783	31	95.008428	3142.774187	29	88.807754	3133.885287	28	88.556574	3133.885287	28	88.556574	3117.259585	27	88.086769
