individual,library,treatment,ts_alt_pct,tv_alt_pct,ts_minus_tv_pp,ts_n_dp3,tv_n_dp3,covered_sites,covered_sites_millions,retention_pct,source_group,source_file
ORT15,fu,raw,3.532035,3.060144,+0.471891,2408911,1841765,28845214,28.845214,100.000000,baseline,ORT15_fu.1.altfrac.q30Q20.tsv
ORT15,fu,trim5,2.927032,3.012412,-0.085380,1693137,1279707,24340058,24.340058,84.381617,baseline,ORT15_fu.1.trim5.altfrac.q30Q20.tsv
ORT15,fu,rescale5,2.232665,2.988583,-0.755918,2365160,1839486,28742289,28.742289,99.643182,rescaled,ORT15_fu.1.rescaled5.altfrac.q30Q20.tsv
ORT15,fu,rescale12,1.234071,2.961784,-1.727713,2334856,1838640,28655823,28.655823,99.343423,rescaled_fu,ORT15_fu.1.rescaled.altfrac.q30Q20.tsv
ORT15,fu,bamrefine5,2.940495,3.000418,-0.059923,2039780,1537644,26617815,26.617815,92.278099,baseline,ORT15_fu.1.bamrefine5.altfrac.q30Q20.tsv
ORT16,fu,raw,3.366005,3.028802,+0.337203,5624091,4357027,45566134,45.566134,100.000000,baseline,ORT16_fu.1.altfrac.q30Q20.tsv
ORT16,fu,trim5,2.841917,2.976310,-0.134393,4128255,3160607,40115936,40.115936,88.038928,baseline,ORT16_fu.1.trim5.altfrac.q30Q20.tsv
ORT16,fu,rescale5,2.223022,2.967628,-0.744606,5539966,4352939,45451585,45.451585,99.748609,rescaled,ORT16_fu.1.rescaled5.altfrac.q30Q20.tsv
ORT16,fu,rescale12,1.317340,2.949609,-1.632269,5479447,4351698,45348234,45.348234,99.521794,rescaled_fu,ORT16_fu.1.rescaled.altfrac.q30Q20.tsv
ORT16,fu,bamrefine5,2.862625,2.976661,-0.114035,4843994,3712452,42880311,42.880311,94.105660,baseline,ORT16_fu.1.bamrefine5.altfrac.q30Q20.tsv
ORT15,nu,raw,4.329759,3.476167,+0.853592,197441,159358,14380094,14.380094,100.000000,baseline,ORT15_nu.1.altfrac.q30Q20.tsv
ORT15,nu,trim5,3.673066,3.258818,+0.414248,137554,109400,12183234,12.183234,84.722909,baseline,ORT15_nu.1.trim5.altfrac.q30Q20.tsv
ORT15,nu,trim10,3.425079,3.165141,+0.259937,87473,69369,9916713,9.916713,68.961392,baseline,ORT15_nu.1.trim10.altfrac.q30Q20.tsv
ORT15,nu,rescale5,2.920489,3.174130,-0.253641,192278,158095,14273288,14.273288,99.257265,rescaled,ORT15_nu.1.rescaled5.altfrac.q30Q20.tsv
ORT15,nu,rescale10,2.025043,3.035521,-1.010478,189385,157469,14214445,14.214445,98.848067,rescaled,ORT15_nu.1.rescaled10.altfrac.q30Q20.tsv
ORT15,nu,rescale12,1.753155,2.995856,-1.242701,188536,157298,14196082,14.196082,98.720370,baseline,ORT15_nu.1.rescaled.altfrac.q30Q20.tsv
ORT15,nu,bamrefine5,3.600823,3.189433,+0.411390,165486,132374,13259633,13.259633,92.208250,baseline,ORT15_nu.1.bamrefine5.altfrac.q30Q20.tsv
ORT15,nu,bamrefine10,3.307818,3.037990,+0.269828,136245,109549,12124414,12.124414,84.313872,baseline,ORT15_nu.1.bamrefine10.altfrac.q30Q20.tsv
ORT16,nu,raw,4.078153,3.440692,+0.637461,348220,284323,17628662,17.628662,100.000000,baseline,ORT16_nu.1.altfrac.q30Q20.tsv
ORT16,nu,trim5,3.398311,3.166976,+0.231336,245859,197678,15045489,15.045489,85.346744,baseline,ORT16_nu.1.trim5.altfrac.q30Q20.tsv
ORT16,nu,trim10,3.262954,3.127085,+0.135869,158538,127553,12359179,12.359179,70.108435,baseline,ORT16_nu.1.trim10.altfrac.q30Q20.tsv
ORT16,nu,rescale5,2.713228,3.143817,-0.430589,339739,282179,17511873,17.511873,99.337505,rescaled,ORT16_nu.1.rescaled5.altfrac.q30Q20.tsv
ORT16,nu,rescale10,1.923463,3.047908,-1.124445,335517,281437,17454352,17.454352,99.011213,rescaled,ORT16_nu.1.rescaled10.altfrac.q30Q20.tsv
ORT16,nu,rescale12,1.677821,3.024982,-1.347161,334219,281262,17436192,17.436192,98.908198,baseline,ORT16_nu.1.rescaled.altfrac.q30Q20.tsv
ORT16,nu,bamrefine5,3.387165,3.138408,+0.248757,292337,237813,16293931,16.293931,92.428631,baseline,ORT16_nu.1.bamrefine5.altfrac.q30Q20.tsv
ORT16,nu,bamrefine10,3.164601,3.054676,+0.109925,241584,198518,14951642,14.951642,84.814389,baseline,ORT16_nu.1.bamrefine10.altfrac.q30Q20.tsv
