individual	library	treatment	damage_transition_mean_pct_dp3	transversion_mean_pct_dp3	covered_sites_any_depth_millions	retention_pct_all_covered
ORT15	fu	raw	3.53	3.07	28.86	100.0
ORT15	fu	trim5	3.01	NA	24.35	84.4
ORT15	fu	rescale5	2.55	NA	28.75	99.6
ORT15	fu	rescale12	1.73	NA	28.66	99.3
ORT15	fu	bamrefine5	2.99	NA	26.64	92.3
ORT16	fu	raw	3.37	3.03	45.59	100.0
ORT16	fu	trim5	2.92	NA	40.12	88.0
ORT16	fu	rescale5	2.55	NA	45.44	99.7
ORT16	fu	rescale12	1.86	NA	45.37	99.5
ORT16	fu	bamrefine5	2.92	NA	42.90	94.1
ORT15	nu	raw	4.33	3.51	14.40	100.0
ORT15	nu	trim5	3.67	NA	12.20	84.7
ORT15	nu	trim10	3.43	NA	9.94	69.0
ORT15	nu	rescale5	2.92	NA	14.30	99.3
ORT15	nu	rescale10	2.03	NA	14.26	98.9
ORT15	nu	rescale12	1.75	NA	14.20	98.7
ORT15	nu	bamrefine5	3.60	NA	13.27	92.2
ORT15	nu	bamrefine10	3.31	NA	12.14	84.3
ORT16	nu	raw	4.08	3.47	17.65	100.0
ORT16	nu	trim5	3.40	NA	15.05	85.3
ORT16	nu	trim10	3.26	NA	12.37	70.1
ORT16	nu	rescale5	2.71	NA	17.53	99.3
ORT16	nu	rescale10	1.92	NA	17.48	99.0
ORT16	nu	rescale12	1.68	NA	17.47	98.9
ORT16	nu	bamrefine5	3.39	NA	16.31	92.4
ORT16	nu	bamrefine10	3.16	NA	14.97	84.8
