scheme,individual,comparison_id,description,common_callable_definition,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,0.145137429504,0.145084067054,0.146258040942,0.1390713284,2.07961384473,-0.142956619004,0.435472700889,no
5mb,ORT15,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,0.145137429504,0.145137761583,0.144946151629,0.125429575435,1.96409103161,-0.101408952583,0.39130125584,no
10mb,ORT15,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,0.145137429504,0.145138174338,0.144922917044,0.1265565827,1.96823517361,-0.104170200478,0.394016034567,no
loco,ORT15,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,22,0.00601492901714,0.00601598449512,0.00599276397946,0.00124806332179,2.07961384473,0.00339727421638,0.00858825374255,yes
5mb,ORT15,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,577,0.00601492901714,0.00601492893681,0.00601497528797,0.00132937182785,1.96409103161,0.00340396800321,0.00862598257272,yes
10mb,ORT15,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,289,0.00601492901714,0.00601493317701,0.00601373097486,0.00129332726202,1.96823517361,0.00346815876677,0.00855930318296,yes
loco,ORT15,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.0634121273199,0.0633979724433,0.06370937973,0.0182483361488,2.07961384473,0.0257598872317,0.101658872228,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.0634121273199,0.0634121248518,0.0634135489589,0.0201817822643,1.96409103161,0.0237746914117,0.103052406506,yes
10mb,ORT15,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,289,0.0634121273199,0.0634120882401,0.0634233823072,0.0198833528544,1.96823517361,0.0242882678498,0.102558496765,yes
loco,ORT15,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.0843687446055,0.0843376500295,0.0850217307012,0.0228134377278,2.07961384473,0.0375785897565,0.132464871646,yes
