scheme,individual,comparison_id,library,treatment,damage_alt_fraction_sum,damage_n_common_dp3,transversion_alt_fraction_sum,transversion_n_common_dp3,common_target_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,raw_nu_minus_raw_fu,nu,raw,838.420238095,19429,511.315873016,15033,34462,4.3153030938,3.40128964954,percentage_points,22,0.914013444261,0.91394423928,0.915466748849,0.129759796002,2.07961384473,0.645616480595,1.1853170171,yes
loco,ORT15,raw_nu_minus_raw_fu,fu,raw,658.301469125,19429,393.769235131,15033,34462,3.38824164458,2.61936562982,percentage_points,22,0.768876014757,0.768860172226,0.769208707906,0.111394042457,2.07961384473,0.537552114993,1.00086530082,yes
5mb,ORT15,raw_nu_minus_raw_fu,nu,raw,838.420238095,19429,511.315873016,15033,34462,4.3153030938,3.40128964954,percentage_points,577,0.914013444261,0.914014195892,0.913580504461,0.171808327267,1.96409103161,0.576133309719,1.2510276992,yes
5mb,ORT15,raw_nu_minus_raw_fu,fu,raw,658.301469125,19429,393.769235131,15033,34462,3.38824164458,2.61936562982,percentage_points,577,0.768876014757,0.768876434309,0.768634352832,0.160708978186,1.96409103161,0.452987290077,1.08428141559,yes
10mb,ORT15,raw_nu_minus_raw_fu,nu,raw,838.420238095,19429,511.315873016,15033,34462,4.3153030938,3.40128964954,percentage_points,289,0.914013444261,0.91401549436,0.913423015718,0.168947830559,1.96823517361,0.580893953107,1.24595207833,yes
10mb,ORT15,raw_nu_minus_raw_fu,fu,raw,658.301469125,19429,393.769235131,15033,34462,3.38824164458,2.61936562982,percentage_points,289,0.768876014757,0.768877320021,0.768500098674,0.157403988543,1.96823517361,0.458692031957,1.07830816539,yes
loco,ORT15,nu_bamrefine5_minus_rescale5,nu,bamrefine5,5350.275,164795,4221.64642857,132373,297168,3.24662459419,3.18920507095,percentage_points,22,0.0574195232407,0.0572269426673,0.0614637152815,0.0664499649566,2.07961384473,-0.0767265518239,0.199653982387,no
loco,ORT15,nu_bamrefine5_minus_rescale5,nu,rescale5,5333.59166667,164795,4216.20753968,132373,297168,3.23650090516,3.18509631094,percentage_points,22,0.0514045942235,0.0512109581722,0.055470951302,0.0663306323637,2.07961384473,-0.0824711500911,0.193413052695,no
5mb,ORT15,nu_bamrefine5_minus_rescale5,nu,bamrefine5,5350.275,164795,4221.64642857,132373,297168,3.24662459419,3.18920507095,percentage_points,577,0.0574195232407,0.0574196628524,0.0573391068902,0.0553335470661,1.96409103161,-0.0513410166495,0.16601923043,no
5mb,ORT15,nu_bamrefine5_minus_rescale5,nu,rescale5,5333.59166667,164795,4216.20753968,132373,297168,3.23650090517,3.18509631094,percentage_points,577,0.0514045942235,0.0514047339156,0.0513241316022,0.0552528685049,1.96409103161,-0.057197531899,0.159845795103,no
10mb,ORT15,nu_bamrefine5_minus_rescale5,nu,bamrefine5,5350.275,164795,4221.64642857,132373,297168,3.24662459419,3.18920507095,percentage_points,289,0.0574195232407,0.057420036292,0.0572717644633,0.0545340151017,1.96823517361,-0.0500640022183,0.164607531145,no
10mb,ORT15,nu_bamrefine5_minus_rescale5,nu,rescale5,5333.59166667,164795,4216.20753968,132373,297168,3.23650090517,3.18509631094,percentage_points,289,0.0514045942235,0.051405103115,0.0512580334884,0.0544403329481,1.96823517361,-0.0558933446834,0.15840941166,no
loco,ORT15,rescale5_shift_nu_minus_fu,nu,raw,485.020238095,18639,462.482539683,14892,33531,2.60217950585,3.10557708624,percentage_points,22,-0.503397580389,-0.503399437333,-0.50335858456,0.125063291425,2.07961384473,-0.763441936875,-0.243275232245,yes
loco,ORT15,rescale5_shift_nu_minus_fu,nu,rescale5,467.260714286,18639,456.157539683,14892,33531,2.50689797889,3.0631046178,percentage_points,22,-0.556206638906,-0.556222835622,-0.555866507867,0.122412738315,2.07961384473,-0.810437733238,-0.301295282496,yes
loco,ORT15,rescale5_shift_nu_minus_fu,fu,raw,357.249088172,18639,387.602568464,14892,33531,1.91667518736,2.6027569733,percentage_points,22,-0.68608178594,-0.686062824957,-0.686479966569,0.125052092875,2.07961384473,-0.946540030225,-0.426419902914,yes
loco,ORT15,rescale5_shift_nu_minus_fu,fu,rescale5,332.230365229,18639,384.921020845,14892,33531,1.78244736965,2.58475034142,percentage_points,22,-0.802302971777,-0.80228419569,-0.802697269606,0.116228514711,2.07961384473,-1.04440769795,-0.560986841261,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,nu,raw,485.020238095,18639,462.482539683,14892,33531,2.60217950585,3.10557708624,percentage_points,577,-0.503397580389,-0.503396992274,-0.503736334573,0.157513279367,1.96409103161,-0.813106753939,-0.194365915208,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,nu,rescale5,467.260714286,18639,456.157539683,14892,33531,2.50689797889,3.0631046178,percentage_points,577,-0.556206638906,-0.556206048395,-0.556546773442,0.158299016139,1.96409103161,-0.867460451354,-0.245633095529,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,fu,raw,357.249088172,18639,387.602568464,14892,33531,1.91667518736,2.6027569733,percentage_points,577,-0.68608178594,-0.686081411449,-0.686297492709,0.14628541686,1.96409103161,-0.97361536802,-0.398979617398,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,fu,rescale5,332.230365229,18639,384.921020845,14892,33531,1.78244736965,2.58475034142,percentage_points,577,-0.802302971777,-0.802302592422,-0.802521480536,0.146157813577,1.96409103161,-1.08958873138,-0.51545422969,yes
10mb,ORT15,rescale5_shift_nu_minus_fu,nu,raw,485.020238095,18639,462.482539683,14892,33531,2.60217950585,3.10557708624,percentage_points,289,-0.503397580389,-0.503395864637,-0.503891716832,0.147774311069,1.96823517361,-0.794746313635,-0.213037120029,yes
10mb,ORT15,rescale5_shift_nu_minus_fu,nu,rescale5,467.260714286,18639,456.157539683,14892,33531,2.50689797889,3.0631046178,percentage_points,289,-0.556206638906,-0.556204921229,-0.556701330077,0.148198730559,1.96823517361,-0.848391284248,-0.265011375907,yes
10mb,ORT15,rescale5_shift_nu_minus_fu,fu,raw,357.249088172,18639,387.602568464,14892,33531,1.91667518736,2.6027569733,percentage_points,289,-0.68608178594,-0.686080428935,-0.686472603249,0.140275814867,1.96823517361,-0.962568396078,-0.410376810421,yes
10mb,ORT15,rescale5_shift_nu_minus_fu,fu,rescale5,332.230365229,18639,384.921020845,14892,33531,1.78244736965,2.58475034142,percentage_points,289,-0.802302971777,-0.802301573767,-0.802705598802,0.140452263376,1.96823517361,-1.07914868379,-0.526262513812,yes
loco,ORT15,rescale12_shift_nu_minus_fu,nu,raw,263.753571429,18161,434.482539683,14805,32966,1.45230753498,2.93470138252,percentage_points,22,-1.48239384754,-1.48239900723,-1.48228549405,0.0995269951802,2.07961384473,-1.68926321115,-1.27530777695,yes
loco,ORT15,rescale12_shift_nu_minus_fu,nu,rescale12,235.685714286,18161,425.521428571,14805,32966,1.29775736075,2.87417378299,percentage_points,22,-1.57641642224,-1.57643707903,-1.57598262957,0.0987730307914,2.07961384473,-1.78139239189,-1.37057286725,yes
