scheme,individual,contrast_id,description,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,raw_nu_minus_raw_fu,Uncorrected non-UDG minus uncorrected full-UDG DeltaALT,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,0.381700786159,0.381589671968,0.384034184164,0.0464662334776,2.07961384473,0.287402361712,0.480666006617,yes
loco,ORT15,fu_trim5_minus_raw,fu trim5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:trim5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.557271293745,-0.557305207831,-0.556559097932,0.0126048948474,2.07961384473,-0.582772411767,-0.530345784096,yes
loco,ORT15,fu_rescale5_minus_raw,fu rescale5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.22780905739,-1.22781359315,-1.22771380644,0.0112866045777,2.07961384473,-1.25118558558,-1.2042420273,yes
loco,ORT15,fu_rescale12_minus_raw,fu rescale12 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-2.19960435391,-2.19959142859,-2.19987578563,0.0223786183029,2.07961384473,-2.24641467008,-2.15333690118,yes
loco,ORT15,fu_bamrefine5_minus_raw,fu bamrefine5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.53181461849,-0.531838114684,-0.531321198421,0.0119603341033,2.07961384473,-0.55619407481,-0.506448322032,yes
loco,ORT15,nu_trim5_minus_raw,nu trim5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.439344136231,-0.439378321243,-0.43862625098,0.0374069053441,2.07961384473,-0.516418169222,-0.360834332738,yes
loco,ORT15,nu_trim10_minus_raw,nu trim10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.593655000574,-0.593676536936,-0.593202736982,0.0625064863095,2.07961384473,-0.723192091296,-0.463213382667,yes
loco,ORT15,nu_rescale5_minus_raw,nu rescale5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.10723304631,-1.10724167278,-1.10705189056,0.026753116404,2.07961384473,-1.16268804183,-1.0514157393,yes
loco,ORT15,nu_rescale10_minus_raw,nu rescale10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.86406993011,-1.86404918189,-1.86450564271,0.0305785640715,2.07961384473,-1.92809724791,-1.80091403752,yes
loco,ORT15,nu_rescale12_minus_raw,nu rescale12 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-2.09629304316,-2.09625328769,-2.09712790801,0.0346822235817,2.07961384473,-2.16925354034,-2.02500227569,yes
