individual	library	treatment	source_file	size_bytes	source_sha256	data_rows	covered_sites	exact_adjacent_duplicate_rows
ORT15	fu	raw	ORT15_fu.1.altfrac.q30Q20.tsv	912683073	b120fa31b973f9318e3cb06b4a25297831c8149d864a50ccabcc72da747b950f	28859912	28845214	1
ORT15	fu	trim5	ORT15_fu.1.trim5.altfrac.q30Q20.tsv	770761999	232eec3b5303151d9c3c399777ff3f43afaacbaab93822ecd5a1ba7f6381c1be	24369553	24340058	1
ORT15	fu	rescale5	ORT15_fu.1.rescaled5.altfrac.q30Q20.tsv	912565985	dcdd752e3325403cc57ec415b4662f16de2414ca975a45f89fd15c4facfe9d39	28859912	28742289	1
ORT15	fu	rescale12	ORT15_fu.1.rescaled.altfrac.q30Q20.tsv	912534574	63513dc53c3683cbb1797bcbde9c531dfc4272ab1ee86530361bafe6c8d925c4	28859912	28655823	1
ORT15	fu	bamrefine5	ORT15_fu.1.bamrefine5.altfrac.q30Q20.tsv	914631333	3a1b297243c1a054bdd0ebc642375082941fb7cd8fb3f92a83624744baad1fd2	28859912	26617815	1
ORT16	fu	raw	ORT16_fu.1.altfrac.q30Q20.tsv	1442107423	535007529dd951072a5ecf1349e97ce28a77951da9c47949cf9e4654cf725e83	45587375	45566134	2
ORT16	fu	trim5	ORT16_fu.1.trim5.altfrac.q30Q20.tsv	1270335505	7f06bbbdc48c919e6a5742f81af113a2fc2bc7f726db03c839f337b5b7b8989f	40164829	40115936	2
ORT16	fu	rescale5	ORT16_fu.1.rescaled5.altfrac.q30Q20.tsv	1441674763	fe16342cca3a1328884e7707dacbdcb2798d03ef5e1c377859d23244dc2c8341	45587375	45451585	2
ORT16	fu	rescale12	ORT16_fu.1.rescaled.altfrac.q30Q20.tsv	1441527535	1a09392bfcbdc841e4a7a36f1c3817a7d57563cfef04d9b82f4d5c493faa42a5	45587375	45348234	2
ORT16	fu	bamrefine5	ORT16_fu.1.bamrefine5.altfrac.q30Q20.tsv	1444094201	a2060dfd7c7485bea9c6e7932cba5ef9cff665ad6fc30e8d7cf41accd43ee4eb	45587375	42880311	2
ORT15	nu	raw	ORT15_nu.1.altfrac.q30Q20.tsv	454513551	9b00fdc89962ba58b547ad2d6deae06854f1c73f40690ae93ae40d0fd982098d	14385804	14380094	0
ORT15	nu	trim5	ORT15_nu.1.trim5.altfrac.q30Q20.tsv	385517529	50204bf0d79a775b4c0f99a2a1bffbf7c8ed0a9bc5aff0c75692768d653cbc11	12201201	12183234	0
ORT15	nu	trim10	ORT15_nu.1.trim10.altfrac.q30Q20.tsv	313799064	65e279d6ecdf33eed220aaf9651172649554dfc0bfb003f8b5f2255ab3a42dc2	9932027	9916713	0
ORT15	nu	rescale5	ORT15_nu.1.rescaled5.altfrac.q30Q20.tsv	454549204	5eb61959ab6fea22f7e9aa1c22610df1c41b752866773c8eecb640809ecab6d0	14385804	14273288	0
ORT15	nu	rescale10	ORT15_nu.1.rescaled10.altfrac.q30Q20.tsv	454572910	9f862fefd4d8546dcd3f2b7ab5902bf402d6524beeccbb364fb9192b4058c1d9	14385804	14214445	0
ORT15	nu	rescale12	ORT15_nu.1.rescaled.altfrac.q30Q20.tsv	454581156	073e301157146abce482339d4322a16eefcc2357b3fdf228f1a52af82c341177	14385804	14196082	0
ORT15	nu	bamrefine5	ORT15_nu.1.bamrefine5.altfrac.q30Q20.tsv	455545290	516d0437ee24905d48ea06a2bb07c454318910a7f364a753c86360a585561aac	14385804	13259633	0
ORT15	nu	bamrefine10	ORT15_nu.1.bamrefine10.altfrac.q30Q20.tsv	456635646	a5091381f7e04b3d72b8ef87d39d276a191b6f9abd70342c0b8f658c61314614	14385804	12124414	0
ORT16	nu	raw	ORT16_nu.1.altfrac.q30Q20.tsv	557148484	911c8b0716a162ce3ce2b231f23b8d99b9466af14a4303126218dba59286f809	17636864	17628662	1
ORT16	nu	trim5	ORT16_nu.1.trim5.altfrac.q30Q20.tsv	476029227	77e56208c55e5b0861c349e52a6b221990be98dfd153f0162a58b54ad5941be6	15068791	15045489	1
ORT16	nu	trim10	ORT16_nu.1.trim10.altfrac.q30Q20.tsv	391044486	d0ae51e2953058b4d4783ebbdbe0f576bc92dab8cab98c22b46717ad934b5ba1	12379412	12359179	1
ORT16	nu	rescale5	ORT16_nu.1.rescaled5.altfrac.q30Q20.tsv	557159510	114c84577123e7dd96953473ba4543612ef9110e3791879823579f486d8f486c	17636864	17511873	1
ORT16	nu	rescale10	ORT16_nu.1.rescaled10.altfrac.q30Q20.tsv	557175080	09930265515f05c6e7a474b607554c54ab8041bb23de389b87fe71f16255d4b0	17636864	17454352	1
ORT16	nu	rescale12	ORT16_nu.1.rescaled.altfrac.q30Q20.tsv	557181443	19a312cc79ab44c21377d2ba9a85fd0d9d9d8ab1d196e9900569e9b9e3bbf7d6	17636864	17436192	1
ORT16	nu	bamrefine5	ORT16_nu.1.bamrefine5.altfrac.q30Q20.tsv	558352799	0e6d144d4f751e09cc894b817517dfcdd179c0af23a98ac0307216797d907e87	17636864	16293931	1
ORT16	nu	bamrefine10	ORT16_nu.1.bamrefine10.altfrac.q30Q20.tsv	559637932	9f15aa329f22bbc31cf8f24588baa8ab8f52b5aad615e6086ad6bc111e1264de	17636864	14951642	1
