individual,library,treatment,deltaalt_point_pp,ci95_lo_pp,ci95_hi_pp,display_2dp,interval_excludes_zero,uncertainty_unit
ORT15,fu,raw,0.47189148571,0.409111706373,0.537252500128,+0.47 (+0.41 to +0.54),yes,leave-one-autosome-out_95pct_CI
ORT15,fu,trim5,-0.0853798080345,-0.160858312441,-0.0058956769212,-0.09 (-0.16 to -0.01),yes,leave-one-autosome-out_95pct_CI
ORT15,fu,rescale5,-0.755917571676,-0.819839211603,-0.68922419477,-0.76 (-0.82 to -0.69),yes,leave-one-autosome-out_95pct_CI
ORT15,fu,rescale12,-1.7277128682,-1.78984321468,-1.66354415008,-1.73 (-1.79 to -1.66),yes,leave-one-autosome-out_95pct_CI
ORT15,fu,bamrefine5,-0.0599231327803,-0.128248481574,0.0119702912329,-0.06 (-0.13 to +0.01),no,leave-one-autosome-out_95pct_CI
ORT16,fu,raw,0.337202875898,0.287539868729,0.389238286229,+0.34 (+0.29 to +0.39),yes,leave-one-autosome-out_95pct_CI
ORT16,fu,trim5,-0.134393355579,-0.184803688653,-0.0817007278682,-0.13 (-0.18 to -0.08),yes,leave-one-autosome-out_95pct_CI
ORT16,fu,rescale5,-0.744605712773,-0.791813295489,-0.69524614603,-0.74 (-0.79 to -0.70),yes,leave-one-autosome-out_95pct_CI
ORT16,fu,rescale12,-1.63226868284,-1.68664473337,-1.57645885027,-1.63 (-1.69 to -1.58),yes,leave-one-autosome-out_95pct_CI
ORT16,fu,bamrefine5,-0.114035433206,-0.163925420963,-0.0617470936643,-0.11 (-0.16 to -0.06),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,raw,0.853592271869,0.740834440303,0.973598134526,+0.85 (+0.74 to +0.97),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,trim5,0.414248135638,0.265454276118,0.571725796752,+0.41 (+0.27 to +0.57),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,trim10,0.259937271295,0.0622794480404,0.465747652826,+0.26 (+0.06 to +0.47),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,rescale5,-0.253640774446,-0.375397069414,-0.124274136881,-0.25 (-0.38 to -0.12),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,rescale10,-1.01047765824,-1.12176659279,-0.892812117801,-1.01 (-1.12 to -0.89),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,rescale12,-1.24270077129,-1.34542080235,-1.13440243885,-1.24 (-1.35 to -1.13),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,bamrefine5,0.411390441419,0.276402892328,0.554268193896,+0.41 (+0.28 to +0.55),yes,leave-one-autosome-out_95pct_CI
ORT15,nu,bamrefine10,0.269827806014,0.12695634121,0.419170630212,+0.27 (+0.13 to +0.42),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,raw,0.637461096185,0.519430804785,0.758566223242,+0.64 (+0.52 to +0.76),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,trim5,0.231335513838,0.0905016706255,0.376069121242,+0.23 (+0.09 to +0.38),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,trim10,0.135868909732,-0.0452742390975,0.319740066799,+0.14 (-0.05 to +0.32),no,leave-one-autosome-out_95pct_CI
ORT16,nu,rescale5,-0.430588929965,-0.540306218969,-0.318770049586,-0.43 (-0.54 to -0.32),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,rescale10,-1.12444490882,-1.22950645452,-1.01788933654,-1.12 (-1.23 to -1.02),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,rescale12,-1.34716142853,-1.44829135877,-1.24511779358,-1.35 (-1.45 to -1.25),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,bamrefine5,0.24875692898,0.120828419112,0.379338498122,+0.25 (+0.12 to +0.38),yes,leave-one-autosome-out_95pct_CI
ORT16,nu,bamrefine10,0.109925099922,-0.0293139627707,0.251557636973,+0.11 (-0.03 to +0.25),no,leave-one-autosome-out_95pct_CI
