individual,treatment,chr,nrd_numerator,nrd_denominator,nrd_pct
ORT15,bamrefine5,1,40769,217998,18.7015
ORT15,bamrefine5,2,40573,229074,17.7117
ORT15,bamrefine5,3,31479,200695,15.6850
ORT15,bamrefine5,4,30205,205090,14.7277
ORT15,bamrefine5,5,30022,171225,17.5337
ORT15,bamrefine5,6,30403,193665,15.6988
ORT15,bamrefine5,7,28477,162292,17.5468
ORT15,bamrefine5,8,25415,150622,16.8734
ORT15,bamrefine5,9,24412,119144,20.4895
ORT15,bamrefine5,10,24378,138212,17.6381
ORT15,bamrefine5,11,24457,137978,17.7253
ORT15,bamrefine5,12,23467,131218,17.8840
ORT15,bamrefine5,13,18440,102464,17.9966
ORT15,bamrefine5,14,16783,93239,18.0000
ORT15,bamrefine5,15,17090,81581,20.9485
ORT15,bamrefine5,16,19427,87220,22.2736
ORT15,bamrefine5,17,18645,76743,24.2954
ORT15,bamrefine5,18,14934,79773,18.7206
ORT15,bamrefine5,19,16912,67507,25.0522
ORT15,bamrefine5,20,13774,61770,22.2989
ORT15,bamrefine5,21,9210,41248,22.3284
ORT15,bamrefine5,22,10905,39688,27.4768
ORT15,rescale5,1,40047,217984,18.3715
ORT15,rescale5,2,40321,229297,17.5846
ORT15,rescale5,3,31655,200895,15.7570
ORT15,rescale5,4,30855,205287,15.0302
ORT15,rescale5,5,29498,170986,17.2517
ORT15,rescale5,6,30536,193809,15.7557
ORT15,rescale5,7,29407,162736,18.0704
ORT15,rescale5,8,24406,150299,16.2383
ORT15,rescale5,9,25008,119793,20.8760
ORT15,rescale5,10,25781,138697,18.5880
ORT15,rescale5,11,24790,138240,17.9326
ORT15,rescale5,12,23873,131318,18.1795
ORT15,rescale5,13,18329,102347,17.9087
ORT15,rescale5,14,16913,93173,18.1523
ORT15,rescale5,15,16976,81465,20.8384
ORT15,rescale5,16,19360,87302,22.1759
ORT15,rescale5,17,18811,76915,24.4569
ORT15,rescale5,18,15039,80034,18.7908
ORT15,rescale5,19,16471,67405,24.4359
ORT15,rescale5,20,13321,61617,21.6190
ORT15,rescale5,21,9173,41160,22.2862
ORT15,rescale5,22,10551,39753,26.5414
ORT16,bamrefine5,1,32082,214284,14.9717
ORT16,bamrefine5,2,32804,228240,14.3726
ORT16,bamrefine5,3,25611,190494,13.4445
ORT16,bamrefine5,4,25576,206042,12.4130
ORT16,bamrefine5,5,24853,173150,14.3535
ORT16,bamrefine5,6,24121,197508,12.2127
ORT16,bamrefine5,7,22905,162481,14.0970
ORT16,bamrefine5,8,20451,149330,13.6952
ORT16,bamrefine5,9,19492,122464,15.9165
ORT16,bamrefine5,10,20850,137719,15.1395
ORT16,bamrefine5,11,19707,142053,13.8730
ORT16,bamrefine5,12,19652,128686,15.2713
ORT16,bamrefine5,13,13545,103898,13.0368
ORT16,bamrefine5,14,12997,93533,13.8956
ORT16,bamrefine5,15,13449,82328,16.3359
ORT16,bamrefine5,16,16636,85625,19.4289
ORT16,bamrefine5,17,15457,73499,21.0302
ORT16,bamrefine5,18,12179,79559,15.3081
ORT16,bamrefine5,19,13273,65163,20.3689
ORT16,bamrefine5,20,11311,60988,18.5463
ORT16,bamrefine5,21,6841,39361,17.3801
ORT16,bamrefine5,22,9244,38947,23.7348
ORT16,rescale5,1,32049,214306,14.9548
ORT16,rescale5,2,32866,227870,14.4231
ORT16,rescale5,3,26059,190778,13.6593
ORT16,rescale5,4,25174,206054,12.2172
ORT16,rescale5,5,23723,172957,13.7161
ORT16,rescale5,6,24242,197446,12.2778
ORT16,rescale5,7,23561,162639,14.4867
ORT16,rescale5,8,20546,149659,13.7285
ORT16,rescale5,9,19603,122491,16.0036
ORT16,rescale5,10,20464,137826,14.8477
ORT16,rescale5,11,19774,142075,13.9180
ORT16,rescale5,12,19702,129065,15.2652
ORT16,rescale5,13,13402,103656,12.9293
ORT16,rescale5,14,12797,93538,13.6811
ORT16,rescale5,15,13712,82495,16.6216
ORT16,rescale5,16,16229,85449,18.9926
ORT16,rescale5,17,14934,73399,20.3463
ORT16,rescale5,18,11840,79209,14.9478
ORT16,rescale5,19,13426,65286,20.5649
ORT16,rescale5,20,12007,61233,19.6087
ORT16,rescale5,21,6927,39321,17.6165
ORT16,rescale5,22,9178,38714,23.7072
