PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
ORT10,ORT11	Unrelated	NA	18.195059479425577	1.0029781622922904	0.24745475253778704	0.0013116071608023233	N/A	0.9024390243902439	402122	99211.53195656658	-0.0029781622922904205	0.9925584547718358,1.013397869812745
ORT10,ORT12	Unrelated	NA	17.95654791447213	1.002968891052243	0.24745246513762426	0.001328901469142852	N/A	0.8902439024390244	383508	94619.08624148626	-0.0029688910522429612	0.9924117935875564,1.0135259885169294
ORT10,ORT13	Unrelated	NA	14.812998837505125	0.9931119535387594	0.24502056170753875	0.0014467414538594486	N/A	0.8414634146341463	245359	60534.96766983955	0.006888046461240638	0.9816187082611784,1.0046051988163403
ORT10,ORT14	Unrelated	NA	15.566143362639778	1.0001155059088422	0.24674847801098387	0.0014877478151215163	N/A	0.8780487804878049	187912	46361.64495606393	-0.00011550590884223944	0.9882964967107841,1.0119345151069004
ORT10,ORT15	Unrelated	NA	16.92421452060052	1.0090203364539043	0.24894547762848612	0.001498178563281304	N/A	0.9085365853658537	217397	53636.18357802285	-0.00902033645390432	0.9971184630048017,1.0209222099030069
ORT10,ORT16	Unrelated	NA	20.535660334869974	1.0182117916304712	0.25121319326945407	0.0013451338104380809	N/A	0.8963414634146342	331563	81803.21685984623	-0.018211791630471152	1.0075257407308513,1.028897842530091
ORT10,ORT18	Unrelated	NA	14.9355868289802	0.9926065711781918	0.24489587378144734	0.0014265185420607835	N/A	0.8475609756097561	244655	60361.27680364118	0.007393428821808157	0.9812739813410898,1.003939161015294
ORT10,ORT2	Unrelated	NA	14.297758603949811	1.0000345959826067	0.24672851591556924	0.0016183329375716892	N/A	0.8841463414634146	168043	41459.56566558735	-3.4595982606688835e-05	0.9871781886800572,1.0128910032851561
ORT10,ORT21	Unrelated	NA	16.022096209651217	1.0067571194521938	0.24838709677419354	0.0015476822892817388	N/A	0.8536585365853658	175770	43365.970954102755	-0.006757119452193816	0.9944619770720328,1.0190522618323548
ORT10,ORT23	Unrelated	NA	18.177667913787047	1.0065623160404515	0.2483390348802675	0.0013615086800077402	N/A	0.8841463414634146	363644	89718.24055091167	-0.0065623160404515435	0.9957461794286608,1.0173784526522422
ORT10,ORT24	Unrelated	NA	19.841308522380846	1.009659292311756	0.24910312080520883	0.0012858596772023347	N/A	0.9024390243902439	418674	103295.24107207156	-0.009659292311755996	0.9994441286947789,1.0198744559287332
ORT10,ORT26	Unrelated	NA	22.284129153594005	1.0174306201641736	0.2510204626606037	0.0012309424451002792	N/A	0.9024390243902439	524272	129348.37756186699	-0.017430620164173627	1.0076517316099114,1.0272095087184359
ORT10,ORT27	Unrelated	NA	16.66518709637737	0.9934329916143615	0.24509976821525747	0.0012907017399513602	N/A	0.8963414634146342	476304	117513.71354225953	0.006567008385638506	0.9831793615425278,1.003686621686195
ORT10,ORT3	Unrelated	NA	17.01344417876792	0.9935664152824482	0.24513268650003212	0.0012662165308990323	N/A	0.8658536585365854	482453	119030.79470171097	0.0064335847175518435	0.983507301316143,1.0036255292487533
ORT10,ORT4	Unrelated	NA	17.395606031999456	1.0041746606221673	0.2477499525822774	0.0013888547662258249	N/A	0.8597560975609756	326882	80648.32063161528	-0.004174660622167314	0.9931412804417709,1.0152080408025639
ORT10,ORT5	Unrelated	NA	22.336788368517528	1.0312640503814838	0.2544334462926198	0.0013808370097978698	N/A	0.8963414634146342	283583	69965.59220047404	-0.03126405038148383	1.0202943650934655,1.0422337356695022
ORT10,ORT6	Unrelated	NA	18.2167059687742	0.998847036964232	0.24643552137783745	0.0012540982537484779	N/A	0.9085365853658537	553447	136546.43298990332	0.001152963035767951	0.9888841933655599,1.0088098805629042
ORT10,ORT7	Unrelated	NA	16.53504436545644	0.9946914696299156	0.24541025988658305	0.0013196382888950578	N/A	0.8841463414634146	427802	105547.30105312093	0.0053085303700843856	0.9842079609895171,1.005174978270314
ORT10,ORT8	Unrelated	NA	18.210227290501205	0.9983706868510505	0.24631799628725193	0.0012480906301350252	N/A	0.8902439024390244	512289	126391.93203678868	0.0016293131489495405	0.988455569189546,1.008285804512555
ORT10,ORT9	Unrelated	NA	17.18805094113795	0.9944029808202467	0.24533908393311724	0.0012653617198512372	N/A	0.8841463414634146	436824	107773.20871624841	0.005597019179753304	0.9843506576685768,1.0044553039719166
ORT11,ORT12	Unrelated	NA	14.71005504019951	0.9828486780828177	0.24248840658825604	0.0012847283238072416	N/A	0.8780487804878049	362706	89486.81720930076	0.01715132191718227	0.9726425021961851,0.9930548539694504
ORT11,ORT13	Unrelated	NA	15.815170829549494	0.9975782958560566	0.24612249759650154	0.001424740561199183	N/A	0.8588957055214724	235074	57997.45267147267	0.0024217041439433817	0.9862598307059101,1.0088967610062032
ORT11,ORT14	Unrelated	NA	11.737880338965908	0.97671085606284	0.24097408325981656	0.001481025579103819	N/A	0.8109756097560976	180231	44466.58878664672	0.023289143937159973	0.9649452498464681,0.9884764622792119
ORT11,ORT15	Unrelated	NA	16.123956403649988	1.0029346685516758	0.24744402176295524	0.0014794160274588166	N/A	0.8963414634146342	205303	50652.35213512066	-0.0029346685516757898	0.9911818489820082,1.0146874881213435
ORT11,ORT16	Unrelated	NA	17.496576889438046	1.0018941061429723	0.24718729422587973	0.0013486816387939392	N/A	0.8475609756097561	317399	78308.67505752551	-0.0018941061429722517	0.9911798704827736,1.012608341803171
ORT11,ORT18	Unrelated	NA	11.915562077754345	0.9758986630421326	0.24077369901367032	0.0014421238937945753	N/A	0.7926829268292683	234303	57807.231566587805	0.024101336957867425	0.9644421007186952,0.98735522536557
ORT11,ORT2	Unrelated	NA	16.10589980377534	1.007282397984992	0.24851669348350763	0.0015476757929610606	N/A	0.8780487804878049	159104	39254.13576083271	-0.007282397984992084	0.9949873072130896,1.0195774887568947
ORT11,ORT21	Unrelated	NA	14.093375985877278	0.9922934873791477	0.24481862975268504	0.0015062854734457967	N/A	0.852760736196319	168247	41509.89654158802	0.007706512620852313	0.9803272107799761,1.0042597639783193
ORT11,ORT23	Unrelated	NA	18.41184042182399	1.0037667909612737	0.24764932298753783	0.0013067319834942465	N/A	0.8841463414634146	343199	84674.05055172733	-0.003766790961273747	0.9933858129653129,1.0141477689572345
ORT11,ORT24	Unrelated	NA	19.751623906978043	1.0060876014556668	0.24822191330721596	0.001247083844339783	N/A	0.9141104294478528	395650	97614.76024344742	-0.00608760145566678	0.9961804819309793,1.0159947209803544
ORT11,ORT26	Unrelated	NA	20.369780949852398	1.0049194358154252	0.24793370350335697	0.001195089987955179	N/A	0.8597560975609756	502832	124058.70118218921	-0.004919435815425199	0.9954253673875743,1.0144135042432763
ORT11,ORT27	Unrelated	NA	16.80263683655517	0.9934066731721609	0.24509327492971372	0.0012797570348948878	N/A	0.8719512195121951	450657	111186.08620505824	0.0065933268278390855	0.983239990342607,1.0035733560017148
