metric,space,individual,library,representation,value,n_points
within_group_spread,PC1-2,ORT15,fu,imputed,0.00030000000000000165,4
within_group_spread,PC1-2,ORT15,fu,pseudohaploid,0.00139283882771841,4
within_group_spread,PC1-2,ORT15,nu,imputed,0.0010198039027185582,8
within_group_spread,PC1-2,ORT15,nu,pseudohaploid,0.003361547262794322,8
within_group_spread,PC1-2,ORT16,fu,imputed,0.0001999999999999988,4
within_group_spread,PC1-2,ORT16,fu,pseudohaploid,0.0009486832980505113,4
within_group_spread,PC1-2,ORT16,nu,imputed,0.0006324555320336753,8
within_group_spread,PC1-2,ORT16,nu,pseudohaploid,0.0029529646120466826,8
within_group_spread_median,PC1-2,,,imputed,0.0004662277660168385,4
within_group_spread_maximum,PC1-2,,,imputed,0.0010198039027185582,4
within_group_spread_median,PC1-2,,,pseudohaploid,0.0021729017198825465,4
within_group_spread_maximum,PC1-2,,,pseudohaploid,0.003361547262794322,4
imputed_vs_pseudohaploid_median,PC1-2,,,matched24,0.003084592406944879,24
ORT_to_Yakut_centroid_distance,PC1-2,,,all48,0.005322615810153876,48
within_Yakut_mean_to_centroid,PC1-2,,,reference,0.0018061929629631,20
within_group_spread,PC1-4,ORT15,fu,imputed,0.0003741657386773956,4
within_group_spread,PC1-4,ORT15,fu,pseudohaploid,0.0015684387141358118,4
within_group_spread,PC1-4,ORT15,nu,imputed,0.0010954451150103333,8
within_group_spread,PC1-4,ORT15,nu,pseudohaploid,0.0034856850115866753,8
within_group_spread,PC1-4,ORT16,fu,imputed,0.00022360679774997762,4
within_group_spread,PC1-4,ORT16,fu,pseudohaploid,0.001072380529476358,4
within_group_spread,PC1-4,ORT16,nu,imputed,0.000812403840463596,8
within_group_spread,PC1-4,ORT16,nu,pseudohaploid,0.0032280024783137963,8
within_group_spread_median,PC1-4,,,imputed,0.0005932847895704958,4
within_group_spread_maximum,PC1-4,,,imputed,0.0010954451150103333,4
within_group_spread_median,PC1-4,,,pseudohaploid,0.0023982205962248043,4
within_group_spread_maximum,PC1-4,,,pseudohaploid,0.0034856850115866753,4
imputed_vs_pseudohaploid_median,PC1-4,,,matched24,0.00361382406092763,24
ORT_to_Yakut_centroid_distance,PC1-4,,,all48,0.005870105215671654,48
within_Yakut_mean_to_centroid,PC1-4,,,reference,0.0021349269114449,20
variance_explained_pct,eigen,,,PC1,6.4458665485734405,1
variance_explained_pct,eigen,,,PC2,4.36853034226717,1
variance_explained_pct,eigen,,,PC3,1.5331999186296736,1
variance_explained_pct,eigen,,,PC4,1.037474200698338,1
