prefixed_id	individual	library	treatment	representation
IMP__ORT15_fu_bamrefine5	ORT15	fu	bamrefine5	imputed
IMP__ORT15_fu_raw	ORT15	fu	raw	imputed
IMP__ORT15_fu_rescale5	ORT15	fu	rescale5	imputed
IMP__ORT15_fu_trim5	ORT15	fu	trim5	imputed
IMP__ORT15_nu_bamrefine10	ORT15	nu	bamrefine10	imputed
IMP__ORT15_nu_bamrefine5	ORT15	nu	bamrefine5	imputed
IMP__ORT15_nu_raw	ORT15	nu	raw	imputed
IMP__ORT15_nu_rescale10	ORT15	nu	rescale10	imputed
IMP__ORT15_nu_rescale5	ORT15	nu	rescale5	imputed
IMP__ORT15_nu_rescaled	ORT15	nu	rescaled	imputed
IMP__ORT15_nu_trim10	ORT15	nu	trim10	imputed
IMP__ORT15_nu_trim5	ORT15	nu	trim5	imputed
IMP__ORT16_fu_bamrefine5	ORT16	fu	bamrefine5	imputed
IMP__ORT16_fu_raw	ORT16	fu	raw	imputed
IMP__ORT16_fu_rescale5	ORT16	fu	rescale5	imputed
IMP__ORT16_fu_trim5	ORT16	fu	trim5	imputed
IMP__ORT16_nu_bamrefine10	ORT16	nu	bamrefine10	imputed
IMP__ORT16_nu_bamrefine5	ORT16	nu	bamrefine5	imputed
IMP__ORT16_nu_raw	ORT16	nu	raw	imputed
IMP__ORT16_nu_rescale10	ORT16	nu	rescale10	imputed
IMP__ORT16_nu_rescale5	ORT16	nu	rescale5	imputed
IMP__ORT16_nu_rescaled	ORT16	nu	rescaled	imputed
IMP__ORT16_nu_trim10	ORT16	nu	trim10	imputed
IMP__ORT16_nu_trim5	ORT16	nu	trim5	imputed
PHAP__ORT15_fu_bamrefine5	ORT15	fu	bamrefine5	pseudohaploid
PHAP__ORT15_fu_raw	ORT15	fu	raw	pseudohaploid
PHAP__ORT15_fu_rescale5	ORT15	fu	rescale5	pseudohaploid
PHAP__ORT15_fu_trim5	ORT15	fu	trim5	pseudohaploid
PHAP__ORT15_nu_bamrefine10	ORT15	nu	bamrefine10	pseudohaploid
PHAP__ORT15_nu_bamrefine5	ORT15	nu	bamrefine5	pseudohaploid
PHAP__ORT15_nu_raw	ORT15	nu	raw	pseudohaploid
PHAP__ORT15_nu_rescale10	ORT15	nu	rescale10	pseudohaploid
PHAP__ORT15_nu_rescale5	ORT15	nu	rescale5	pseudohaploid
PHAP__ORT15_nu_rescaled	ORT15	nu	rescaled	pseudohaploid
PHAP__ORT15_nu_trim10	ORT15	nu	trim10	pseudohaploid
PHAP__ORT15_nu_trim5	ORT15	nu	trim5	pseudohaploid
PHAP__ORT16_fu_bamrefine5	ORT16	fu	bamrefine5	pseudohaploid
PHAP__ORT16_fu_raw	ORT16	fu	raw	pseudohaploid
PHAP__ORT16_fu_rescale5	ORT16	fu	rescale5	pseudohaploid
PHAP__ORT16_fu_trim5	ORT16	fu	trim5	pseudohaploid
PHAP__ORT16_nu_bamrefine10	ORT16	nu	bamrefine10	pseudohaploid
PHAP__ORT16_nu_bamrefine5	ORT16	nu	bamrefine5	pseudohaploid
PHAP__ORT16_nu_raw	ORT16	nu	raw	pseudohaploid
PHAP__ORT16_nu_rescale10	ORT16	nu	rescale10	pseudohaploid
PHAP__ORT16_nu_rescale5	ORT16	nu	rescale5	pseudohaploid
PHAP__ORT16_nu_rescaled	ORT16	nu	rescaled	pseudohaploid
PHAP__ORT16_nu_trim10	ORT16	nu	trim10	pseudohaploid
PHAP__ORT16_nu_trim5	ORT16	nu	trim5	pseudohaploid
