individual	library	endogenous_pct	duplication_pct	mean_fragment_bp	damage_3prime_GtoA_pct	note
ORT15	full-UDG library a	85.1	64.9	60.6	1.30	damage measured on merged full-UDG data
ORT15	full-UDG library b	83.5	56.8	61.7	1.30	damage measured on merged full-UDG data
ORT15	full-UDG library c	82.1	56.8	62.0	1.30	damage measured on merged full-UDG data
ORT15	full-UDG merged a+b+c	NA	NA	NA	1.30	analysis comparator
ORT15	non-UDG	81.5	40.8	63.4	26.02	damage measured on the non-UDG library
ORT16	full-UDG library a	90.8	44.5	59.1	1.34	damage measured on merged full-UDG data
ORT16	full-UDG library b	88.9	38.5	64.1	1.34	damage measured on merged full-UDG data
ORT16	full-UDG library c	88.7	56.0	NA	1.34	fragment-length result unavailable; damage measured on merged full-UDG data
ORT16	full-UDG merged a+b+c	NA	NA	NA	1.34	analysis comparator
ORT16	non-UDG	89.3	41.3	64.4	23.92	damage measured on the non-UDG library
