iid	representation	pc1	pc2
IMP__ORT15_fu_bamrefine5	IMP	-0.022	0.0272
IMP__ORT15_fu_raw	IMP	-0.0218	0.0271
IMP__ORT15_fu_rescale5	IMP	-0.022	0.0271
IMP__ORT15_fu_trim5	IMP	-0.0221	0.0271
IMP__ORT15_nu_bamrefine5	IMP	-0.0214	0.0263
IMP__ORT15_nu_bamrefine10	IMP	-0.0217	0.0263
IMP__ORT15_nu_raw	IMP	-0.0207	0.0262
IMP__ORT15_nu_rescale5	IMP	-0.0213	0.0261
IMP__ORT15_nu_rescale10	IMP	-0.0217	0.026
IMP__ORT15_nu_rescaled	IMP	-0.0217	0.026
IMP__ORT15_nu_trim5	IMP	-0.0212	0.0261
IMP__ORT15_nu_trim10	IMP	-0.0213	0.026
IMP__ORT16_fu_bamrefine5	IMP	-0.0208	0.0232
IMP__ORT16_fu_raw	IMP	-0.0206	0.0232
IMP__ORT16_fu_rescale5	IMP	-0.0208	0.0232
IMP__ORT16_fu_trim5	IMP	-0.0208	0.0232
IMP__ORT16_nu_bamrefine5	IMP	-0.0206	0.0226
IMP__ORT16_nu_bamrefine10	IMP	-0.0207	0.0226
IMP__ORT16_nu_raw	IMP	-0.0201	0.0226
IMP__ORT16_nu_rescale5	IMP	-0.0206	0.0225
IMP__ORT16_nu_rescale10	IMP	-0.0207	0.0224
IMP__ORT16_nu_rescaled	IMP	-0.0207	0.0224
IMP__ORT16_nu_trim5	IMP	-0.0205	0.0226
IMP__ORT16_nu_trim10	IMP	-0.0205	0.0225
PHAP__ORT15_fu_bamrefine5	PHAP	-0.0209	0.0275
PHAP__ORT15_fu_raw	PHAP	-0.02	0.0275
PHAP__ORT15_fu_rescale5	PHAP	-0.0204	0.0262
PHAP__ORT15_fu_trim5	PHAP	-0.021	0.0272
PHAP__ORT15_nu_bamrefine5	PHAP	-0.0182	0.0277
PHAP__ORT15_nu_bamrefine10	PHAP	-0.0187	0.0276
PHAP__ORT15_nu_raw	PHAP	-0.0161	0.0278
PHAP__ORT15_nu_rescale5	PHAP	-0.0177	0.0264
PHAP__ORT15_nu_rescale10	PHAP	-0.0179	0.0253
PHAP__ORT15_nu_rescaled	PHAP	-0.0178	0.0249
PHAP__ORT15_nu_trim5	PHAP	-0.018	0.0275
PHAP__ORT15_nu_trim10	PHAP	-0.018	0.0276
PHAP__ORT16_fu_bamrefine5	PHAP	-0.02	0.0235
PHAP__ORT16_fu_raw	PHAP	-0.0194	0.0236
PHAP__ORT16_fu_rescale5	PHAP	-0.0197	0.0227
PHAP__ORT16_fu_trim5	PHAP	-0.02	0.0235
PHAP__ORT16_nu_bamrefine5	PHAP	-0.0177	0.0237
PHAP__ORT16_nu_bamrefine10	PHAP	-0.0185	0.0238
PHAP__ORT16_nu_raw	PHAP	-0.0162	0.0239
PHAP__ORT16_nu_rescale5	PHAP	-0.0175	0.0227
PHAP__ORT16_nu_rescale10	PHAP	-0.0177	0.0218
PHAP__ORT16_nu_rescaled	PHAP	-0.0176	0.0213
PHAP__ORT16_nu_trim5	PHAP	-0.0176	0.0236
PHAP__ORT16_nu_trim10	PHAP	-0.0184	0.0238
