iid	pc1	pc2
ORT15_fu_bamrefine5__c0.01__r01	-0.0181	0.0275
ORT15_fu_bamrefine5__c0.01__r02	-0.0209	0.0307
ORT15_fu_bamrefine5__c0.01__r03	-0.0207	0.0312
ORT15_fu_bamrefine5__c0.01__r04	-0.0213	0.0291
ORT15_fu_bamrefine5__c0.01__r05	-0.0212	0.0283
ORT15_fu_bamrefine5__c0.01__r06	-0.0206	0.0268
ORT15_fu_bamrefine5__c0.01__r07	-0.0193	0.0231
ORT15_fu_bamrefine5__c0.01__r08	-0.0211	0.0271
ORT15_fu_bamrefine5__c0.01__r09	-0.0197	0.0249
ORT15_fu_bamrefine5__c0.01__r10	-0.0234	0.0335
ORT15_fu_bamrefine5__c0.02__r01	-0.0194	0.0264
ORT15_fu_bamrefine5__c0.02__r02	-0.0207	0.0294
ORT15_fu_bamrefine5__c0.02__r03	-0.0203	0.0285
ORT15_fu_bamrefine5__c0.02__r04	-0.0205	0.0278
ORT15_fu_bamrefine5__c0.02__r05	-0.0215	0.0289
ORT15_fu_bamrefine5__c0.02__r06	-0.021	0.0277
ORT15_fu_bamrefine5__c0.02__r07	-0.0207	0.026
ORT15_fu_bamrefine5__c0.02__r08	-0.0219	0.027
ORT15_fu_bamrefine5__c0.02__r09	-0.0202	0.0278
ORT15_fu_bamrefine5__c0.02__r10	-0.0224	0.0321
ORT15_fu_bamrefine5__c0.04__r01	-0.0203	0.0273
ORT15_fu_bamrefine5__c0.04__r02	-0.021	0.0283
ORT15_fu_bamrefine5__c0.04__r03	-0.0205	0.0264
ORT15_fu_bamrefine5__c0.04__r04	-0.0201	0.0271
ORT15_fu_bamrefine5__c0.04__r05	-0.0215	0.0288
ORT15_fu_bamrefine5__c0.04__r06	-0.0215	0.0274
ORT15_fu_bamrefine5__c0.04__r07	-0.0206	0.0271
ORT15_fu_bamrefine5__c0.04__r08	-0.0219	0.0275
ORT15_fu_bamrefine5__c0.04__r09	-0.0204	0.0265
ORT15_fu_bamrefine5__c0.04__r10	-0.0212	0.0299
ORT15_fu_bamrefine5__c0.06__r01	-0.0204	0.0274
ORT15_fu_bamrefine5__c0.06__r02	-0.0211	0.0277
ORT15_fu_bamrefine5__c0.06__r03	-0.0207	0.027
ORT15_fu_bamrefine5__c0.06__r04	-0.0206	0.0271
ORT15_fu_bamrefine5__c0.06__r05	-0.021	0.029
ORT15_fu_bamrefine5__c0.06__r06	-0.0211	0.0284
ORT15_fu_bamrefine5__c0.06__r07	-0.0199	0.0277
ORT15_fu_bamrefine5__c0.06__r08	-0.0208	0.0271
ORT15_fu_bamrefine5__c0.06__r09	-0.0207	0.0264
ORT15_fu_bamrefine5__c0.06__r10	-0.0213	0.0294
ORT15_fu_bamrefine5__c0.08__r01	-0.0204	0.0276
ORT15_fu_bamrefine5__c0.08__r02	-0.0206	0.0273
ORT15_fu_bamrefine5__c0.08__r03	-0.0208	0.0275
ORT15_fu_bamrefine5__c0.08__r04	-0.0206	0.0275
ORT15_fu_bamrefine5__c0.08__r05	-0.0209	0.0284
ORT15_fu_bamrefine5__c0.08__r06	-0.0208	0.0282
ORT15_fu_bamrefine5__c0.08__r07	-0.0198	0.0286
ORT15_fu_bamrefine5__c0.08__r08	-0.0207	0.0272
ORT15_fu_bamrefine5__c0.08__r09	-0.0209	0.0268
ORT15_fu_bamrefine5__c0.08__r10	-0.021	0.0293
ORT15_fu_bamrefine5__c0.1__r01	-0.0203	0.0273
ORT15_fu_bamrefine5__c0.1__r02	-0.0206	0.0274
ORT15_fu_bamrefine5__c0.1__r03	-0.0209	0.028
ORT15_fu_bamrefine5__c0.1__r04	-0.0204	0.0277
ORT15_fu_bamrefine5__c0.1__r05	-0.021	0.029
ORT15_fu_bamrefine5__c0.1__r06	-0.0209	0.0284
ORT15_fu_bamrefine5__c0.1__r07	-0.0202	0.0284
ORT15_fu_bamrefine5__c0.1__r08	-0.0206	0.0275
ORT15_fu_bamrefine5__c0.1__r09	-0.0209	0.0272
ORT15_fu_bamrefine5__c0.1__r10	-0.0207	0.0285
ORT15_fu_bamrefine5__c0.2__r01	-0.0204	0.0274
ORT15_fu_bamrefine5__c0.2__r02	-0.0205	0.0275
ORT15_fu_bamrefine5__c0.2__r03	-0.0209	0.0279
ORT15_fu_bamrefine5__c0.2__r04	-0.0205	0.0281
ORT15_fu_bamrefine5__c0.2__r05	-0.0207	0.0282
ORT15_fu_bamrefine5__c0.2__r06	-0.0208	0.0277
ORT15_fu_bamrefine5__c0.2__r07	-0.0209	0.0278
ORT15_fu_bamrefine5__c0.2__r08	-0.0204	0.0274
ORT15_fu_bamrefine5__c0.2__r09	-0.0207	0.0273
ORT15_fu_bamrefine5__c0.2__r10	-0.0206	0.0276
ORT15_fu_bamrefine5__cfull__r01	-0.0206	0.0278
ORT15_fu_raw__c0.01__r01	-0.0182	0.027
ORT15_fu_raw__c0.01__r02	-0.0208	0.0303
ORT15_fu_raw__c0.01__r03	-0.0208	0.0319
ORT15_fu_raw__c0.01__r04	-0.0191	0.0288
ORT15_fu_raw__c0.01__r05	-0.0216	0.029
ORT15_fu_raw__c0.01__r06	-0.0196	0.0261
ORT15_fu_raw__c0.01__r07	-0.0183	0.023
ORT15_fu_raw__c0.01__r08	-0.0199	0.0262
ORT15_fu_raw__c0.01__r09	-0.0192	0.0253
ORT15_fu_raw__c0.01__r10	-0.0222	0.0339
ORT15_fu_raw__c0.02__r01	-0.0194	0.0265
ORT15_fu_raw__c0.02__r02	-0.02	0.0299
ORT15_fu_raw__c0.02__r03	-0.02	0.0284
ORT15_fu_raw__c0.02__r04	-0.0189	0.0276
ORT15_fu_raw__c0.02__r05	-0.021	0.0298
ORT15_fu_raw__c0.02__r06	-0.0197	0.0273
ORT15_fu_raw__c0.02__r07	-0.0194	0.0261
ORT15_fu_raw__c0.02__r08	-0.0206	0.0266
ORT15_fu_raw__c0.02__r09	-0.0196	0.0275
ORT15_fu_raw__c0.02__r10	-0.0218	0.0316
ORT15_fu_raw__c0.04__r01	-0.0195	0.0269
ORT15_fu_raw__c0.04__r02	-0.0203	0.0283
ORT15_fu_raw__c0.04__r03	-0.0198	0.0265
ORT15_fu_raw__c0.04__r04	-0.0187	0.0275
ORT15_fu_raw__c0.04__r05	-0.0208	0.0289
ORT15_fu_raw__c0.04__r06	-0.0206	0.0269
ORT15_fu_raw__c0.04__r07	-0.0194	0.0271
ORT15_fu_raw__c0.04__r08	-0.0207	0.0274
ORT15_fu_raw__c0.04__r09	-0.0197	0.0262
ORT15_fu_raw__c0.04__r10	-0.0204	0.03
