class	file	bytes	sha256	included	role
processed_input	ORT15_fu_raw.ped	115439582	3f22125617ceeb32d49169c357cbca38b785ffd7ce1a11322e4859f4f63df0c7	no	retained pseudo-haploid PED
processed_input	ORT15_fu_raw.map	730049206	eef14c776c0b655c3fd61af56853d93e2e8d0ebf5577663efce1a0df88ebc053	no	retained marker MAP
processed_input	ORT15_fu_bamrefine5.ped	115439574	b63a15ffe7af41bbeef3951c122fb7c26f2945f3d3f8b98f7a5c38667347c3c9	no	retained pseudo-haploid PED
processed_input	ORT15_fu_bamrefine5.map	730049206	eef14c776c0b655c3fd61af56853d93e2e8d0ebf5577663efce1a0df88ebc053	no	retained marker MAP
processed_input	ORT15_fu_rescale5.ped	115439592	3d14f3214aa7719f67d1860d4d67803c78a63ffd0aa70caf15348d4ce97e787c	no	retained pseudo-haploid PED
processed_input	ORT15_fu_rescale5.map	730049206	eef14c776c0b655c3fd61af56853d93e2e8d0ebf5577663efce1a0df88ebc053	no	retained marker MAP
processed_input	ORT15_fu_trim5.ped	97478162	f34fc0cf7b2ceed8f43668b9da5e08d7df5985803d5d3adf5269d77990e9a285	no	retained pseudo-haploid PED
processed_input	ORT15_fu_trim5.map	616461982	578db03b443a7876400a1d52400496bad8eb5790e50e49c4028f617ec0dfcef8	no	retained marker MAP
processed_input	ORT15_nu_raw.ped	57543202	1fc754bb4c70647ad09b9164c9a516f42c3e4e4ffe4a09c22597bf29d80d58b0	no	retained pseudo-haploid PED
processed_input	ORT15_nu_raw.map	363889186	abd7a56caae08c73b0b2dae739c1c2c9c42135dcc65d0fd543f7734e7b9c234f	no	retained marker MAP
processed_input	ORT15_nu_bamrefine5.ped	57543194	4435d27bb97e0b518c0fb6b4a4e93128592edc8aa643dc7d1904bce862de5fec	no	retained pseudo-haploid PED
processed_input	ORT15_nu_bamrefine5.map	363889186	abd7a56caae08c73b0b2dae739c1c2c9c42135dcc65d0fd543f7734e7b9c234f	no	retained marker MAP
processed_input	ORT15_nu_rescale5.ped	57543212	47200f00896fb95a01a93f740acc8fc2caa4d1f0a2519272c602978d5d9354ef	no	retained pseudo-haploid PED
processed_input	ORT15_nu_rescale5.map	363889186	abd7a56caae08c73b0b2dae739c1c2c9c42135dcc65d0fd543f7734e7b9c234f	no	retained marker MAP
processed_input	ORT15_nu_trim5.ped	48804794	2acef7f0a7fc734c702daff35c8ad85acc18cd512b8357c314c7236c8f233485	no	retained pseudo-haploid PED
processed_input	ORT15_nu_trim5.map	308630844	58c596f1a1e3a879c02684c1c2d1bb0bec2786a8ac17c2c590cacbac47387e8e	no	retained marker MAP
processed_input	ORT16_fu_raw.ped	182349350	cb6100fbe6e79eadac9b8b6517003eeb593dba2d7ec0d82b723e9f6216c52551	no	retained pseudo-haploid PED
processed_input	ORT16_fu_raw.map	1153152000	8155b36d5a367f6eec8c666ae99562b3a6e335022a203c851764e49867cf6259	no	retained marker MAP
processed_input	ORT16_fu_bamrefine5.ped	182349342	7327b9e0350dbc9c04c4906fdd160390a5506fe3acfcf2b1735c523e18f4897f	no	retained pseudo-haploid PED
processed_input	ORT16_fu_bamrefine5.map	1153152000	8155b36d5a367f6eec8c666ae99562b3a6e335022a203c851764e49867cf6259	no	retained marker MAP
processed_input	ORT16_fu_rescale5.ped	182349360	12375a0fd7527e214005d49560d5f6f3ce46d35ca83d65e49bda38a607d19815	no	retained pseudo-haploid PED
processed_input	ORT16_fu_rescale5.map	1153152000	8155b36d5a367f6eec8c666ae99562b3a6e335022a203c851764e49867cf6259	no	retained marker MAP
processed_input	ORT16_fu_trim5.ped	160659202	63cd12edeba971004fc7ccdb813228ebae36c41e14bb4cb62b0c7057a9e9bbc9	no	retained pseudo-haploid PED
processed_input	ORT16_fu_trim5.map	1015992158	e73e0dbef8485d15568a9606b368041149b633e99ac330ea65ccf34f44234b55	no	retained marker MAP
processed_input	ORT16_nu_raw.ped	70547410	fa56ae3c91e7384bbd7f1cdc126cd635ef2242e1e86b707d743c88c8c2f3b002	no	retained pseudo-haploid PED
processed_input	ORT16_nu_raw.map	446131528	6ff847f15fb515f2975f9ad133980a0e7556ac565611a68f2c51f0a1bb378140	no	retained marker MAP
processed_input	ORT16_nu_bamrefine5.ped	70547402	db8ecc17a6772a905413e1e60c275565285d18e6674288060e209d04af40660b	no	retained pseudo-haploid PED
processed_input	ORT16_nu_bamrefine5.map	446131528	6ff847f15fb515f2975f9ad133980a0e7556ac565611a68f2c51f0a1bb378140	no	retained marker MAP
processed_input	ORT16_nu_rescale5.ped	70547420	9c85b39415c2bf4b726f3af35b7cf1391d80f75e17e1ca14203d7cb96f325c3e	no	retained pseudo-haploid PED
processed_input	ORT16_nu_rescale5.map	446131528	6ff847f15fb515f2975f9ad133980a0e7556ac565611a68f2c51f0a1bb378140	no	retained marker MAP
processed_input	ORT16_nu_trim5.ped	60275130	e7a6a5310eea2923f89d8e6f24649404057c5167d64a36c610821abccc116503	no	retained pseudo-haploid PED
processed_input	ORT16_nu_trim5.map	381169502	2bc4c0eb846a04507800c20f7f7a03ce36a1b91f541d8fd320e38be62fac8fed	no	retained marker MAP
required_reference	1000GP_EAS_allchr_sorted.frq	2044239114	981823c75d22ec7bad2275cfd05e175271084c5d797ecaa0574f19791c8e5804	no	final EAS allele-frequency file required for PED-level rerun
