method	direction	sample1	sample2	chromosome	start_cM	end_cM	length_cM	start_bp	end_bp	marker_steps	snp_per_cM
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	1	43.99540126	286.26260757	242.26720631	20541370	249198164	80689	333.05787122
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	2	0.04830000	76.79370046	76.74540046	100373	47804714	22855	297.80286329
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	2	85.06479859	116.56919718	31.50439858	57436278	88541064	12132	385.08908423
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	2	118.81550550	268.83249283	150.01698732	98686948	243044147	54215	361.39240607
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	3	0.01990000	14.63149935	14.61159935	104972	5573036	3475	237.82475257
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	3	20.35039961	32.84040093	12.49000132	8148696	14572619	3336	267.09364669
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	3	41.29180014	153.80070210	112.50890195	22157610	143415442	46202	410.65195018
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	3	159.38240290	174.41099882	15.02859592	148803869	168924612	6883	457.99355007
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	3	175.53149462	223.25730324	47.72580862	169741291	197836412	10805	226.39742128
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	4	0.34830000	119.39129829	119.04299830	90883	109981685	39386	330.85524192
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	4	120.43160200	155.02820015	34.59659815	111072985	153003675	13608	393.33347000
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	4	160.05959511	176.10429525	16.04470015	156080728	171109550	5442	339.17741999
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	5	0.12310000	204.08580303	203.96270304	163769	180690937	69331	339.91999011
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	6	2.57830000	55.21100163	52.63270158	1063883	37039564	22852	434.17873893
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	6	64.43269849	119.87290382	55.44020534	42458006	115838251	24889	448.93412370
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	6	120.91890574	142.31419563	21.39528990	117678083	138484929	8441	394.52608683
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	6	146.78629637	162.64549494	15.85919857	143243309	154699997	5541	349.38713804
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	6	170.03120184	192.03250408	22.00130224	159548276	170909002	6264	284.71041991
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	7	0.19730000	131.44700527	131.24970528	123250	121040956	44596	339.77981058
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	7	132.85419941	187.15260029	54.29840088	123324957	159119486	14497	266.98760489
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	8	0.01350000	155.50980568	155.49630568	197042	139165289	57977	372.85130181
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	9	1.81370000	19.29550022	17.48180017	1007443	8258063	4774	273.08400473
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	9	23.80030006	56.03600144	32.23570138	10314941	31485649	10295	319.36640304
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	9	71.74969912	79.95539904	8.20569992	77164006	81720891	2165	263.84099113
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	9	86.60709858	123.32869768	36.72159910	86800027	117004955	13606	370.51763356
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	9	128.51279974	143.93780231	15.42500257	120969775	133051139	4660	302.10691877
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	10	0.00990000	19.10080016	19.09090016	135656	8247228	5026	263.26678987
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	10	32.27019906	180.91529608	148.64509702	14240306	135434303	50356	338.76663954
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	11	0.04360000	23.94350022	23.89990022	247986	12327308	6192	259.08057954
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	11	28.75240147	82.34369755	53.59129608	17001235	76336832	19939	372.05668569
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	11	88.56980205	158.21709633	69.64729428	80727085	134942543	24652	353.95488445
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	12	0.19360000	42.17250049	41.97890050	207231	23657441	10382	247.31471948
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	12	65.18039703	113.76320124	48.58280420	52059954	97439396	16823	346.27478335
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	12	115.30729532	161.21259928	45.90530396	98583490	129058869	13748	299.48609018
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	13	0.74430000	69.27949786	68.53519785	19662154	73968916	20967	305.93039281
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	13	71.15460038	90.46509862	19.31049824	75025477	97629610	8260	427.74660179
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	13	97.09770083	122.42200375	25.32430291	101840684	112784507	6231	246.04823366
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	14	2.30160000	86.56820059	84.26660057	20445370	90144990	28656	340.06355787
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	15	27.85750000	141.34600163	113.48850131	27068434	102398060	32783	288.86626946
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	16	20.75140029	99.33530092	78.58390063	8592549	78923074	22023	280.24824198
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	16	104.40030098	134.02630091	29.62599993	80421905	90149922	6525	220.24573064
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	17	40.98530114	53.90390158	12.91860044	15370190	32675796	3781	292.67876327
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	17	60.59799790	112.95219660	52.35419869	36185665	75521095	14152	270.31260821
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	18	1.42380000	117.70900488	116.28520489	565414	78015180	33658	289.44352837
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	20	0.07640000	98.06960225	97.99320225	97122	59359142	27299	278.58054817
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	21	1.45240000	57.95990229	56.50750231	15231699	44859819	14604	258.44355887
raw	fu_x_nu	ORT15_fu.1	ORT16_nu.1	22	45.68850100	66.28850102	20.60000002	37649170	48855759	5179	251.40776670
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	1	21.22420000	71.88959718	50.66539645	9591499	43751977	13349	263.47371056
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	1	73.56659770	106.29969835	32.73310065	46904539	77870482	12636	386.03125729
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	1	112.83140182	242.83509254	130.00369072	84751614	224897974	44496	342.26720606
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	1	250.79810619	259.81719494	9.01908875	232474875	236615519	2136	236.83102144
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	1	261.43949032	285.15861034	23.71912003	237146261	248075062	5297	223.32194425
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	2	34.99329984	73.81150126	38.81820142	14695020	46163515	14310	368.64150001
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	2	79.52240109	127.63170004	48.10929894	50771738	109210854	19741	410.33647202
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	2	149.59039688	215.99550247	66.40510559	131482478	208641174	26917	405.34533844
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	2	218.62349510	260.38670540	41.76321030	211981894	238794246	12511	299.56988247
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	3	0.01990000	21.31759971	21.29769971	104972	8652999	5269	247.39760964
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	3	25.62589943	141.92899466	116.30309522	10617478	131716105	46581	400.51384627
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	3	149.94399548	223.25730324	73.31330776	140189148	197836412	21223	289.48359647
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	4	20.80609947	109.37999487	88.57389539	7759804	96448249	31604	356.80941726
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	4	117.61360168	147.21380472	29.60020304	108186875	141773937	11155	376.85552312
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	4	152.89649963	200.62119961	47.72469997	149042334	185331345	13988	293.09770428
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	5	0.12310000	32.60369897	32.48059897	163769	16891243	8583	264.25005299
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	5	36.63839996	127.42010355	90.78170359	20562906	123536341	35309	388.94401188
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	5	129.49290276	163.40039968	33.90749693	124559009	158576087	13982	412.35718547
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	5	168.35119724	204.08580303	35.73460579	162934151	180690937	8061	225.57965373
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	6	12.80310000	24.06540066	11.26230061	5059245	10744613	3154	280.04935306
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	6	29.50670123	55.19790053	25.69119930	13838858	37002182	15557	605.53809951
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	6	71.31249905	90.91579914	19.60330009	47362455	83612194	10821	551.99889548
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	6	111.11060381	126.92389488	15.81329107	106535256	125027223	7014	443.55093242
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	6	133.55849981	184.77530479	51.21680498	132142663	166950663	16224	316.77102869
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	7	0.02630000	98.60759974	98.58129974	53998	81476599	31369	318.20436618
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	7	108.21030140	187.15260029	78.94229889	93560922	159119486	24257	307.27506472
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	8	0.01710000	49.39660132	49.37950132	200898	23714122	14220	287.97374660
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	8	54.22679782	115.63140154	61.40460372	27458294	103498788	25707	418.64939178
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	8	123.43380451	146.63310051	23.19929600	116659731	133035196	7854	338.54475588
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	8	153.52859497	168.00220013	14.47360516	137312815	146296414	4081	281.96154006
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	9	0.17550000	17.75960028	17.58410028	214706	7759331	5110	290.60343819
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	9	20.60119957	101.94480419	81.34360462	8816479	100868900	26922	330.96640018
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	9	110.38650274	161.04300022	50.65649748	109211719	138529219	13632	269.10664334
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	10	0.00990000	12.99919933	12.98929933	135656	6183805	3636	279.92272003
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	10	20.14310062	96.20530009	76.06219947	8567981	72816249	25128	330.36120667
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	10	98.37930202	114.63400126	16.25469923	73706254	89462990	6432	395.70095447
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	10	122.82680273	148.84200096	26.01519823	97266538	121190113	10169	390.88689272
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	10	160.50850153	180.91529608	20.40679455	126812002	135434303	4829	236.63687056
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	11	2.10450000	31.41190112	29.30740118	1517541	19079584	8719	297.50164289
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	11	32.96999931	47.86919951	14.89920020	19735896	32202065	5237	351.49537756
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	11	56.04959726	65.47610164	9.42650437	36963843	50638445	4363	462.84389495
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	11	82.08670020	142.69700050	60.61030030	75971107	128333215	22958	378.78050241
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	11	145.82370520	158.21709633	12.39339113	129654647	134942543	3132	252.71533566
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	12	0.23200000	174.67989922	174.44789922	221203	133810286	53862	308.75694257
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	13	0.73540000	34.17550027	33.44010026	19650222	36944756	8481	253.61766064
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	13	53.05020213	76.92769766	23.87749553	51823185	80582865	10064	421.48474024
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	13	84.32689905	111.93360090	27.60670185	92152381	108808587	8289	300.25317927
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	13	113.82290125	125.55389404	11.73099279	109550561	114255283	2602	221.80560893
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	14	2.23220000	40.04369974	37.81149983	20420338	44523419	9742	257.64648434
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	14	60.19150019	95.25690079	35.06540060	65319361	95266088	13073	372.81764292
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	14	103.37849855	115.86660147	12.48810291	98300114	105436222	2932	234.78345914
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	15	41.14649892	73.95470142	32.80820251	33312998	60927948	11642	354.85028472
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	15	84.26399827	134.81730223	50.55330396	68785526	99950772	13840	273.77043470
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	16	0.01330000	71.64120078	71.62790078	105320	55508873	17122	239.04092977
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	16	82.17359781	90.66550136	8.49190354	62709151	73565299	3549	417.92749786
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	16	98.66970181	134.02630091	35.35659909	78729062	90149922	7997	226.18125627
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	17	0.91690000	128.47379446	127.55689444	158754	81041077	29240	229.23104336
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	18	0.25440000	55.10399938	54.84959937	143973	34860858	13366	243.68455108
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	18	63.38469982	117.70900488	54.32430506	45038544	78015180	16207	298.33791675
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	20	11.44980000	43.83879900	32.38899931	4053254	19451637	8441	260.61317667
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	20	52.97510028	108.21340084	55.23830056	34185161	62912463	14317	259.18610555
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	21	18.32060069	30.20299971	11.88239902	22372723	30971183	3754	315.92946785
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	21	41.06589854	62.78650165	21.72060311	38042539	48100155	5679	261.45682842
raw	nu_x_fu	ORT15_nu.1	ORT16_fu.1	22	13.42530000	68.99160147	55.56630194	20708685	49360648	13459	242.21514712
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	1	9.84500000	24.05100018	14.20600042	4165198	11615279	3386	238.34998596
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	1	48.50499928	216.37980938	167.87481010	23980643	203519194	58572	348.90285186
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	1	222.43030071	252.32620239	29.89590168	207193564	233353573	11642	389.41792506
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	1	263.63229752	286.27300262	22.64070511	237796237	249210707	5093	224.94882450
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	2	0.04830000	209.27960873	209.23130873	100373	202503225	76434	365.30861689
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	2	211.27541065	268.10059547	56.82518482	205151228	242663615	16843	296.40026782
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	3	2.64530000	14.27070051	11.62540056	1530363	5496096	2607	224.25033761
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	3	23.66600037	32.84749985	9.18149948	9286438	14578162	2609	284.15837798
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	3	41.29180014	192.45280027	151.16100013	22157610	182426208	59678	394.79759956
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	4	20.33019960	147.23999500	126.90979540	7689152	141778207	46394	365.56673858
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	4	155.27240038	214.54229355	59.26989317	153110256	190897284	15214	256.69018766
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	5	0.12310000	194.04569864	193.92259865	163769	175627251	67599	348.58753168
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	6	2.57830000	119.87119913	117.29289908	1063883	115834776	50640	431.73969096
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	6	120.91890574	168.67480278	47.75589705	117678083	158193725	17066	357.35900812
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	6	176.45900249	192.03250408	15.57350159	163621626	170909002	4099	263.20349198
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	7	0.28640000	138.07079792	137.78439793	128206	130641610	47876	347.47040100
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	8	0.01350000	163.26169968	163.24819968	197042	142689315	59991	367.48337880
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	9	0.16940000	79.93419766	79.76479767	209325	81707449	24643	308.94580969
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	9	85.32980084	166.30100012	80.97119927	85874113	141027939	24259	299.60035442
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	10	0.00990000	19.10080016	19.09090016	135656	8247228	5026	263.26678987
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	10	29.54620123	180.91529608	151.36909485	13233867	135434303	51048	337.24189242
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	11	0.01420000	82.37400055	82.35980055	203788	76339194	28179	342.14507335
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	11	88.57610226	154.15790081	65.58179855	80729199	133096258	23633	360.35913197
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	12	0.19360000	91.00199938	90.80839938	207231	76401140	29591	325.86192688
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	12	92.33739972	155.22409678	62.88669705	76521756	127709389	20884	332.08931266
trim5	fu_x_nu	ORT15_fu.1.trim5	ORT16_nu.1.trim5	13	0.57620000	41.39240086	40.81620085	19529644	41993091	10330	253.08577929
