analysis	sample_id	status
primary_chr1_22_X_Y	ORT1	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT10	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT11	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT12	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT13	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT14	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT15	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT16	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT17	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT18	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT19	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT20	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT21	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT22	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT23	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT24	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT25	removed_by_mind_0.8
primary_chr1_22_X_Y	ORT26	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT27	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT2	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT3	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT4	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT5	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT6	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT7	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT8	retained_after_mind_0.8
primary_chr1_22_X_Y	ORT9	retained_after_mind_0.8
autosome_and_transversion	ORT6	included
autosome_and_transversion	ORT7	included
autosome_and_transversion	ORT8	included
autosome_and_transversion	ORT9	included
autosome_and_transversion	ORT10	included
autosome_and_transversion	ORT11	included
autosome_and_transversion	ORT12	included
autosome_and_transversion	ORT13	included
autosome_and_transversion	ORT14	included
autosome_and_transversion	ORT15	included
autosome_and_transversion	ORT16	included
autosome_and_transversion	ORT17	included
autosome_and_transversion	ORT18	included
autosome_and_transversion	ORT19	included
autosome_and_transversion	ORT20	included
autosome_and_transversion	ORT21	included
autosome_and_transversion	ORT22	included
autosome_and_transversion	ORT23	included
autosome_and_transversion	ORT24	included
autosome_and_transversion	ORT25	included
autosome_and_transversion	ORT26	included
autosome_and_transversion	ORT27	included
